Club;Avg_age;Foreigners;Avg_market_value_MLN_EUR;Total_market_value_MLN_EUR;Season
Man City;24,9;23;29,01;1040;2020/21
Liverpool;24,4;28;22,55;969,65;2020/21
Chelsea;25,2;23;22,8;889,2;2020/21
Man United;24,9;24;19,74;770,05;2020/21
Tottenham;24,6;23;17,16;703,5;2020/21
Arsenal;24,4;26;14,74;619,25;2020/21
Everton;24,7;26;11,62;511,2;2020/21
Leicester;25,3;26;12,77;510,7;2020/21
Wolves;23,9;32;11,85;450,3;2020/21
Aston Villa;23,3;24;8,13;430,75;2020/21
West Ham;26,5;23;8,59;334,9;2020/21
Brighton;24,3;28;6,31;290,4;2020/21
Southampton;24,5;19;7,25;282,8;2020/21
Newcastle;26,9;18;7,74;255,35;2020/21
Fulham;26,4;29;6,31;239,75;2020/21
Leeds;24,5;23;6,11;238,1;2020/21
Crystal Palace;27,7;18;5,38;193,85;2020/21
Sheffield United;24,9;14;3,75;149,85;2020/21
West Brom;26,1;18;3,28;141,15;2020/21
Burnley;26,6;11;4,13;132,3;2020/21
Man City;25,1;23;30,84;1050;2019/20
Liverpool;23,3;31;17,9;1000;2019/20
Tottenham;24,8;22;22,41;806,8;2019/20
Chelsea;24,1;22;19,61;705,85;2019/20
Man United;23,9;24;15,59;670,45;2019/20
Arsenal;24,3;23;15,99;607,65;2019/20
Everton;26;21;12,01;420,3;2019/20
Leicester;25,9;18;12,85;411,1;2019/20
Wolves;23,1;30;7,28;320,33;2019/20
West Ham;26,5;24;7,99;303,6;2019/20
Bournemouth;24,8;16;6,98;272,18;2019/20
Newcastle;26;22;6,16;252,48;2019/20
Aston Villa;25,7;22;6,1;231,7;2019/20
Southampton;24,4;18;5,85;210,75;2019/20
Brighton;24,7;28;4,46;200,78;2019/20
Watford;25,7;27;4,64;199,6;2019/20
Crystal Palace;26,8;18;5,74;189,33;2019/20
Burnley;26,3;12;4,68;163,88;2019/20
Norwich;25,5;25;3,83;145,4;2019/20
Sheffield United;27,3;15;4,08;138,6;2019/20
Man City;24,3;34;26,16;1200;2018/19
Liverpool;24,7;25;30,06;1170;2018/19
Chelsea;25,6;40;21,6;1170;2018/19
Tottenham;25,4;20;26,43;898,6;2018/19
Man United;25,3;22;22,16;797,6;2018/19
Arsenal;24,9;28;15,69;659,05;2018/19
Everton;26;28;13,23;529,1;2018/19
Leicester;26,4;26;11,73;434,1;2018/19
West Ham;26,6;23;9,7;359;2018/19
Bournemouth;25,7;16;8,38;310;2018/19
Southampton;24,9;18;7,64;305,4;2018/19
Wolves;24,1;26;7,57;302,9;2018/19
Crystal Palace;26,4;21;8,03;289;2018/19
Fulham;25,7;25;7,7;254,25;2018/19
Newcastle;26;22;6,61;244,65;2018/19
Watford;26,2;32;6,13;239,1;2018/19
Burnley;28,1;14;5,98;197,25;2018/19
Brighton;25,8;29;4,74;194,35;2018/19
Huddersfield;25,3;21;4,17;137,45;2018/19
Cardiff;27,3;20;3,23;113;2018/19
Man City;25,1;21;31,53;1010;2017/18
Chelsea;24,7;33;19,22;884,25;2017/18
Liverpool;24,9;21;24,5;857,5;2017/18
Man United;26,1;22;24,27;849,5;2017/18
Tottenham;24,7;22;24,4;829,6;2017/18
Arsenal;24,8;27;15,42;694;2017/18
Everton;24,9;30;7,94;381,25;2017/18
Leicester;26,5;21;8,95;304,25;2017/18
Southampton;25,8;16;10,24;297;2017/18
West Ham;25,3;24;6,36;260,6;2017/18
Crystal Palace;25,8;23;5,38;220,73;2017/18
Newcastle;25,4;24;5,63;208,28;2017/18
Watford;26,8;28;5,3;196;2017/18
Stoke;26,2;27;5,5;192,45;2017/18
Burnley;27,8;16;5,64;169,3;2017/18
West Brom;26,5;17;5,03;165,95;2017/18
Swansea;26,3;25;4,6;165,49;2017/18
Brighton;26,7;27;3,8;148,2;2017/18
Bournemouth;26;13;4,13;144,5;2017/18
Huddersfield;25,6;19;3,03;106,05;2017/18
Chelsea;24,8;41;14,01;686,7;2016/17
Man City;25,7;36;13,79;606,7;2016/17
Tottenham;23,7;20;14,31;543,65;2016/17
Arsenal;24,7;26;12,9;542;2016/17
Man United;24,4;25;12,65;531,45;2016/17
Liverpool;24,4;24;11,2;425,65;2016/17
Everton;25,9;25;7,98;311,25;2016/17
West Ham;24,7;28;6,21;273,05;2016/17
Southampton;25,3;19;7,33;263,75;2016/17
Crystal Palace;26,1;26;5,08;228,43;2016/17
Leicester;26,6;21;7,05;218,65;2016/17
Stoke;27,1;27;5,47;186;2016/17
Watford;26,8;36;3,82;175,65;2016/17
Swansea;26,9;28;4,25;157,1;2016/17
Hull;26;23;3,23;135,85;2016/17
Sunderland;25,3;27;3,14;132;2016/17
Bournemouth;24,4;16;3,21;131,6;2016/17
Middlesbrough;27,3;21;3,68;128,8;2016/17
West Brom;27,3;18;4,11;123,2;2016/17
Burnley;26,6;15;2,98;107,18;2016/17
Chelsea;24,7;31;13,84;553,5;2015/16
Man City;25,4;27;13,14;499,35;2015/16
Arsenal;24,7;29;11,17;457,85;2015/16
Man United;23,5;25;10;439,85;2015/16
Liverpool;23,4;27;8,53;375,25;2015/16
Tottenham;23,7;16;12;371,85;2015/16
Everton;25,7;21;6,41;249,85;2015/16
Southampton;25;20;6,44;225,5;2015/16
West Ham;24,2;28;4,03;201,33;2015/16
Newcastle;24,5;26;4,71;198;2015/16
Leicester;26,9;20;4,6;161,1;2015/16
Stoke;27,3;24;4,74;147;2015/16
Swansea;25,8;27;4,05;145,8;2015/16
Watford;27,4;35;3,51;137;2015/16
Crystal Palace;26,6;20;3,57;135,7;2015/16
Aston Villa;24,5;23;2,68;117,95;2015/16
Norwich;26,6;22;2,85;116,9;2015/16
West Brom;26,4;22;3,23;113,1;2015/16
Sunderland;26,5;27;2,65;111,25;2015/16
Bournemouth;25,1;22;2,04;99,9;2015/16
Chelsea;24,9;28;14,66;557,25;2014/15
Man United;24,9;26;11,75;505,4;2014/15
Man City;26,4;29;12,56;452,25;2014/15
Arsenal;24;29;9,88;414,75;2014/15
Liverpool;24,3;21;9,28;324,85;2014/15
Tottenham;24,7;25;7,24;304,15;2014/15
Southampton;24,5;20;5,68;210,25;2014/15
Everton;25,3;21;4,57;182,85;2014/15
Newcastle;23,9;26;3,33;140;2014/15
West Ham;25,8;21;3,78;135,9;2014/15
Swansea;25,3;26;3,63;130,75;2014/15
Hull;27;24;3,35;117,1;2014/15
Aston Villa;25,3;20;3,01;114,25;2014/15
QPR;26;25;2,74;112,25;2014/15
Stoke;27,4;23;3,68;110,5;2014/15
Crystal Palace;27;26;2,32;97,25;2014/15
West Brom;26,5;23;2,82;95,95;2014/15
Sunderland;25,8;20;2,68;91;2014/15
Leicester;26,9;19;1,8;66,7;2014/15
Burnley;26,5;13;1,75;52,55;2014/15
Chelsea;24,7;40;11,92;584,2;2013/14
Man City;26,5;22;16,37;458,3;2013/14
Man United;25,5;24;10,88;402,55;2013/14
Arsenal;24,5;34;9,41;385,75;2013/14
Liverpool;24,1;25;8,77;315,75;2013/14
Tottenham;23,8;22;7,05;288,95;2013/14
Everton;26;23;6,18;210;2013/14
Newcastle;24,8;27;4,66;172,3;2013/14
Southampton;24,2;17;3,76;131,5;2013/14
Swansea;25,7;28;3,58;128,93;2013/14
Sunderland;25,6;28;3,13;122;2013/14
