Club;Avg_age;Foreigners;Avg_market_value_MLN_EUR;Total_market_value_MLN_EUR;Season
Bayern Munich;25,8;11;14,24;356;2011/12
Dortmund;24,6;13;7,2;215,95;2011/12
Schalke 04;24,7;21;3,98;155,23;2011/12
Leverkusen;24,1;9;4,5;134,85;2011/12
Wolfsburg;25,9;29;2,8;125,8;2011/12
Stuttgart;25,3;18;3,69;118;2011/12
Werder Bremen;24,3;17;2,95;111,95;2011/12
Hoffenheim;23,9;20;2,53;88,65;2011/12
M'gladbach;24,4;15;3,15;88,3;2011/12
Hamburg;24;23;2,32;85,9;2011/12
Hannover;25,7;17;2,48;76,8;2011/12
Freiburg;25;17;1,88;69,43;2011/12
FC Koln;24,7;17;1,77;60,18;2011/12
Nurnberg;24,2;12;1,74;52,1;2011/12
Mainz;25,7;18;1,73;52;2011/12
Hertha;24,7;18;1,47;45,6;2011/12
Kaiserslautern;24,3;22;1,15;42,6;2011/12
Augsburg;26,2;15;1,2;38,35;2011/12
Bayern Munich;25,3;13;15,94;462,4;2012/13
Dortmund;24,2;10;9,75;302,3;2012/13
Schalke 04;24,8;22;5,34;181,55;2012/13
Leverkusen;23,6;11;4,71;155,3;2012/13
Wolfsburg;25,8;26;3,03;109;2012/13
Hamburg;25,1;18;3,5;104,95;2012/13
Stuttgart;25,4;19;2,74;93,13;2012/13
M'gladbach;24,3;14;3,01;87,33;2012/13
Hannover;25,6;20;2,38;83,15;2012/13
Hoffenheim;23,7;24;1,82;78,25;2012/13
Werder Bremen;23,5;14;2,44;78;2012/13
Ein Frankfurt;25,4;13;2,21;68,4;2012/13
Freiburg;24,1;15;2,06;65,8;2012/13
Mainz;26,4;18;1,64;52,43;2012/13
Nurnberg;24,1;13;1,46;46,83;2012/13
Augsburg;26,2;18;1,17;38,45;2012/13
Greuther Furth;24,8;19;0,901;33,33;2012/13
Fortuna Dusseldorf;25,7;19;0,89;31,15;2012/13
Bayern Munich;24,8;16;16,88;556,88;2013/14
Dortmund;24,7;11;10,52;326,05;2013/14
Schalke 04;24,4;18;5,35;203,25;2013/14
Leverkusen;24,3;14;5,03;175,88;2013/14
Wolfsburg;25,3;24;4,31;155,23;2013/14
M'gladbach;25;14;3,98;111,38;2013/14
Stuttgart;25;18;3,09;108,3;2013/14
Hamburg;24,9;18;3,02;102,78;2013/14
Hoffenheim;23,7;25;2,27;97,4;2013/14
Ein Frankfurt;24,7;11;2,61;86,2;2013/14
Hannover;25,2;20;2,23;80,23;2013/14
Freiburg;23,7;16;2,05;71,68;2013/14
Hertha;25,9;14;2,13;68,08;2013/14
Werder Bremen;23,7;18;1,7;66,4;2013/14
Mainz;26,6;16;1,86;59,45;2013/14
Nurnberg;24,2;17;1,71;56,45;2013/14
Augsburg;25,2;20;1,31;45,95;2013/14
Braunschweig;25,9;12;0,866;28,58;2013/14
Bayern Munich;25,5;17;17,43;575,13;2014/15
Dortmund;24,7;17;8,64;319,5;2014/15
Wolfsburg;26,1;18;7,37;221,05;2014/15
Schalke 04;24;15;5,89;212;2014/15
Leverkusen;24,9;14;6,81;177,1;2014/15
M'gladbach;25,9;14;4,84;130,63;2014/15
Hoffenheim;24,4;14;4,06;121,78;2014/15
Mainz;24,9;19;2,44;88;2014/15
