Club;Avg_age;Foreigners;Avg_market_value_MLN_EUR;Total_market_value_MLN_EUR;Season
Barcelona;24,9;11;17,66;618,2;2011/12
Real Madrid;24,4;16;15,86;539,2;2011/12
Ath Madrid;24,4;17;5,68;210;2011/12
Valencia;25,6;13;6,46;181;2011/12
Ath Bilbao;25,2;2;4,81;144,2;2011/12
Villarreal;25,4;12;3,91;137;2011/12
Sevilla;25;14;3,91;133;2011/12
Malaga;26,9;18;3,79;121,3;2011/12
Espanol;24,1;18;2,19;81,2;2011/12
Sociedad;25,3;8;2,87;74,7;2011/12
Getafe;26,4;7;2,09;70,95;2011/12
Granada;26,5;14;1,94;64,1;2011/12
Mallorca;24,8;13;1,94;62,2;2011/12
Zaragoza;26,1;16;1,85;61;2011/12
Sp Gijon;25,9;8;1,62;53,4;2011/12
Betis;25,7;6;1,46;52,7;2011/12
Vallecano;25,8;6;1,28;47,3;2011/12
Osasuna;27,1;8;1,39;44,4;2011/12
Santander;24,2;9;1,12;42,6;2011/12
Levante;27,4;9;1,18;40,25;2011/12
Barcelona;25,9;9;19,55;586,6;2012/13
Real Madrid;25,5;18;17,13;582,4;2012/13
Ath Madrid;24,6;14;8,34;267;2012/13
Valencia;25,2;14;5,76;172,9;2012/13
Sevilla;24,8;14;4,26;144,8;2012/13
Malaga;26,8;21;3,72;122,9;2012/13
Ath Bilbao;23,8;2;3,42;119,85;2012/13
Sociedad;25;9;4,2;113,3;2012/13
Granada;26,8;14;2,35;72,8;2012/13
Getafe;26,7;5;2,2;68,3;2012/13
Betis;25,4;8;1,79;66,2;2012/13
Espanol;25,4;13;2,07;64,1;2012/13
Vallecano;26,5;8;1,38;49,75;2012/13
Celta;26,3;10;1,64;49,1;2012/13
Mallorca;24,9;13;1,31;47,1;2012/13
Zaragoza;25,9;12;1,26;46,8;2012/13
Osasuna;27,7;6;1,49;46,3;2012/13
La Coruna;28,3;15;1,47;45,6;2012/13
Levante;27,9;14;1,28;41,1;2012/13
Valladolid;26,5;8;1,55;38,8;2012/13
Real Madrid;25;16;19,17;651,8;2013/14
Barcelona;25,7;12;18,76;619,2;2013/14
Ath Madrid;24,9;20;8,21;336,8;2013/14
Valencia;24,7;21;4,26;178,8;2013/14
Sevilla;24,7;22;3,56;153,25;2013/14
Sociedad;25,4;8;4,04;137,3;2013/14
Ath Bilbao;25,3;1;4,35;134,8;2013/14
Villarreal;24,3;10;2,85;88,3;2013/14
Granada;25,1;30;1,65;79,08;2013/14
Malaga;26;21;2,02;62,5;2013/14
Betis;24,4;13;1,36;61,3;2013/14
Getafe;26,8;6;1,7;56,2;2013/14
Espanol;25,6;10;1,87;52,4;2013/14
Celta;25,7;8;1,65;51;2013/14
Elche;26,7;8;1,33;46,6;2013/14
Vallecano;25,2;10;1,4;46,1;2013/14
Osasuna;26,9;7;1,48;45,8;2013/14
Levante;27,7;14;1,28;42,4;2013/14
Valladolid;26,6;13;1,33;41,2;2013/14
Almeria;26,3;12;1,07;36,45;2013/14
Real Madrid;24,3;19;19,24;788,8;2014/15
Barcelona;25,4;17;19,48;603,8;2014/15
Ath Madrid;25,7;16;11,13;356;2014/15
Valencia;24,1;13;8,85;230;2014/15
Sevilla;25,5;15;4,76;166,75;2014/15
Villarreal;24,1;12;3,59;132,7;2014/15
Ath Bilbao;26,2;0;4,15;112,1;2014/15
Sociedad;25,5;5;3,23;96,8;2014/15
Malaga;26,6;18;2,76;82,8;2014/15
Espanol;25,5;6;2,44;75,5;2014/15
Granada;25,4;22;1,73;67,55;2014/15
Celta;24,3;11;2,16;60,4;2014/15
La Coruna;26,4;12;1,63;53,9;2014/15
Vallecano;26,7;12;1,78;51,7;2014/15
Cordoba;25,8;15;1,41;50,9;2014/15
Getafe;26,1;9;1,49;50,5;2014/15
Levante;27,8;10;1,4;43,45;2014/15
Elche;25,7;9;1,33;38,6;2014/15
Almeria;25,1;11;1,24;38,3;2014/15
Eibar;28,3;3;1,2;29,9;2014/15
Barcelona;25,9;16;22,69;726;2015/16
Real Madrid;24,8;17;23,81;714,3;2015/16
Ath Madrid;25,4;17;13,95;418,5;2015/16
Valencia;23,7;20;6,68;254;2015/16
Sevilla;25,8;19;6,06;230,3;2015/16
Ath Bilbao;27;0;5,29;148;2015/16
Villarreal;25,4;10;5,02;140,6;2015/16
Sociedad;25,5;6;3,73;119,4;2015/16
Celta;24,6;13;3,25;91,1;2015/16
Malaga;27;23;2,36;77,95;2015/16
Granada;25,9;19;2,17;71,5;2015/16
Espanol;25;9;1,88;62,2;2015/16
La Coruna;28,2;11;2,06;61,75;2015/16
Eibar;25,8;9;1,62;56,6;2015/16
Betis;26,9;14;1,71;56,4;2015/16
Sp Gijon;24,7;7;1,83;53,2;2015/16
Levante;27,3;10;1,71;53,1;2015/16
Vallecano;28;14;1,42;49,6;2015/16
Getafe;25,7;13;1,6;49,6;2015/16
Las Palmas;27,2;7;0,976;32,2;2015/16
Real Madrid;25,2;18;24,92;822,4;2016/17
Barcelona;25,7;19;21,01;777,4;2016/17
Ath Madrid;24,3;31;11,85;556,8;2016/17
Sevilla;25,4;24;6,83;273,3;2016/17
Valencia;25;19;6,65;266;2016/17
Villarreal;25,3;15;5,03;196,1;2016/17
Ath Bilbao;26,1;0;5,03;176;2016/17
Sociedad;25,4;5;4,65;158,15;2016/17
Celta;25,5;16;3,89;124,5;2016/17
La Coruna;26,8;16;2,54;94;2016/17
Betis;26,4;14;2,84;88;2016/17
Espanol;26,7;10;2,47;86,5;2016/17
Alaves;25,3;11;2,85;85,4;2016/17
Malaga;26;16;2,63;84,3;2016/17
Las Palmas;26,7;9;2,55;84,3;2016/17
Eibar;25,2;6;1,85;70,4;2016/17
Granada;25,1;29;1,62;69,45;2016/17
Leganes;26,1;11;1,44;53,15;2016/17
Sp Gijon;25,6;9;1,44;47,65;2016/17
Osasuna;25,5;9;1,16;42,9;2016/17
Barcelona;26,2;17;33,23;1100;2017/18
Real Madrid;24,5;15;29,85;955,35;2017/18
Ath Madrid;25,4;20;19,75;711,15;2017/18
Valencia;24,3;14;13,27;398,05;2017/18
Sevilla;26,5;20;7,67;253,2;2017/18
Ath Bilbao;25,9;0;7,56;249,4;2017/18
Sociedad;26,2;6;7,79;233,75;2017/18
Villarreal;25,4;15;5,5;220;2017/18
Celta;24,5;16;5,41;173,05;2017/18
Betis;25,9;10;4,27;132,25;2017/18
Espanol;27,3;7;3,37;97,8;2017/18
Las Palmas;26,9;15;2,4;91,25;2017/18
Girona;25,4;14;2,73;81,75;2017/18
Alaves;25,1;12;2,27;74,8;2017/18
La Coruna;26,8;18;1,85;66,45;2017/18
Getafe;26,6;18;1,82;65,6;2017/18
Levante;25,2;15;1,67;61,85;2017/18
