Club;Avg_age;Foreigners;Avg_market_value_MLN_EUR;Total_market_value_MLN_EUR;Season
Paris SG;26,5;19;6,03;211,1;2011/12
Lyon;23,3;21;3,9;163,85;2011/12
Marseille;25,3;19;4,19;146,5;2011/12
Lille;26,4;17;5,01;145,35;2011/12
Rennes;23,7;25;3,18;101,8;2011/12
Montpellier;26;16;2,78;86,2;2011/12
St Etienne;25,2;16;2,38;85,6;2011/12
Toulouse;23;15;2,52;83,05;2011/12
Bordeaux;25,2;17;2,74;82,05;2011/12
Sochaux;23,3;20;1,63;58,8;2011/12
Lorient;24,9;20;1,5;54,05;2011/12
Nancy;25,4;22;1,46;53,9;2011/12
Nice;24,9;18;1,54;52,45;2011/12
Auxerre;24;25;1,21;50,9;2011/12
Valenciennes;24,4;16;1,24;44,5;2011/12
Brest;26,1;23;1,17;43,2;2011/12
Dijon;24,9;13;1,08;36,8;2011/12
Evian Thonon Gaillard;27;16;0,997;32,9;2011/12
Caen;25,4;10;1,14;31,8;2011/12
Ajaccio;26,2;15;0,805;26,55;2011/12
Paris SG;26,9;18;8,71;313,6;2012/13
Lyon;23,9;24;2,99;155,65;2012/13
Marseille;24,1;27;3,5;150,65;2012/13
Lille;26,3;12;4,09;114,6;2012/13
Rennes;23,9;21;2,79;97,8;2012/13
St Etienne;24,8;17;2,87;97,6;2012/13
Toulouse;23,6;17;2,56;82;2012/13
Bordeaux;26,1;17;2,7;80,95;2012/13
Montpellier;25,3;17;2,19;78,7;2012/13
Lorient;25,7;19;1,82;63,75;2012/13
Nice;23,3;16;1,52;59,15;2012/13
Valenciennes;25,6;16;1,55;49,75;2012/13
Sochaux;24,7;23;1,38;46,85;2012/13
Nancy;23,2;20;0,996;36,85;2012/13
Brest;25,4;20;0,976;36,1;2012/13
Bastia;25,8;13;0,974;36,05;2012/13
Evian Thonon Gaillard;26,5;19;0,987;34,55;2012/13
Ajaccio;27,2;18;1,07;34,1;2012/13
Reims;25,9;15;1,02;29,5;2012/13
Troyes;26,2;13;0,703;21,8;2012/13
Paris SG;25;17;12,19;402,3;2013/14
Monaco;25,1;32;5,39;242,55;2013/14
Marseille;25;21;3,93;141,3;2013/14
Lyon;24,2;16;3,01;108,5;2013/14
St Etienne;25,3;12;3,1;105,4;2013/14
Rennes;24,2;25;2,37;92,6;2013/14
Lille;25,3;19;2,32;74,1;2013/14
