Club;Avg_age;Foreigners;Avg_market_value_MLN_EUR;Total_market_value_MLN_EUR;Season
Inter;25,4;28;6,31;303,05;2011/12
Milan;26,2;21;6,08;273,53;2011/12
Juventus;27,8;12;7,71;262,28;2011/12
Napoli;28,2;15;7,06;204,75;2011/12
Roma;25,5;18;4,43;172,78;2011/12
Udinese;23,4;25;2,86;140,13;2011/12
Fiorentina;24,6;21;3,27;130,83;2011/12
Palermo;24,5;25;2,59;119,05;2011/12
Lazio;25,1;22;2,14;113,68;2011/12
Genoa;25,7;21;2,67;104,3;2011/12
Parma;25,2;12;1,92;82,35;2011/12
Cagliari;24,8;12;2,17;71,65;2011/12
Atalanta;27,4;5;1,88;67,58;2011/12
Bologna;24,8;18;1,56;63,9;2011/12
Catania;26,5;21;1,52;59,25;2011/12
Chievo;26,2;20;1,12;44,8;2011/12
Siena;26,9;10;1,06;39,33;2011/12
Cesena;25,2;21;0,867;39,03;2011/12
Lecce;25,8;17;0,915;37,53;2011/12
Novara;26,8;13;0,748;28,43;2011/12
Juventus;26,3;17;8,45;337,9;2012/13
Inter;24,3;33;4,41;242,8;2012/13
Milan;25,5;22;5,68;238,53;2012/13
Napoli;26,2;18;5,79;237,25;2012/13
Fiorentina;25,2;25;5,09;213,65;2012/13
Roma;24,6;22;4,69;173,4;2012/13
Lazio;24,9;29;2,61;143,28;2012/13
Udinese;23,3;23;2,52;121;2012/13
Genoa;26,5;23;2,14;98,5;2012/13
Sampdoria;25,3;17;2,32;85,93;2012/13
Parma;25,6;18;2,04;85,78;2012/13
Palermo;25,2;29;1,56;80,95;2012/13
Bologna;24,5;18;1,6;78,55;2012/13
Catania;25,4;22;2,01;76,48;2012/13
Cagliari;24;12;2,25;76,38;2012/13
Atalanta;27,7;12;1,72;74,1;2012/13
Torino;25,8;18;1,62;61,6;2012/13
Chievo;26,8;26;1,2;55,1;2012/13
Pescara;24,5;15;0,919;47,8;2012/13
Siena;27,3;17;0,989;47,48;2012/13
Juventus;25,6;20;8,16;391,45;2013/14
Inter;24,3;36;4,65;292,65;2013/14
Napoli;26,8;25;7,68;276,6;2013/14
Milan;25,3;22;5,62;263,95;2013/14
Fiorentina;25,3;34;4,45;249,13;2013/14
Roma;23,9;30;4,18;246,4;2013/14
Lazio;25;33;3,02;162,95;2013/14
Udinese;23,7;41;1,97;123,95;2013/14
Genoa;24,4;33;1,55;102,1;2013/14
Parma;25,2;22;1,87;89,78;2013/14
Sassuolo;25;12;1,57;87,85;2013/14
Cagliari;24,9;15;2,39;86,2;2013/14
Sampdoria;24,5;19;1,44;83,48;2013/14
Torino;25,4;20;1,87;80,25;2013/14
Catania;24,3;28;1,46;78,98;2013/14
Atalanta;25;14;1,19;73,93;2013/14
Livorno;24,9;14;1,48;71,18;2013/14
Bologna;24,7;26;1,09;69,83;2013/14
Chievo;25;35;0,959;69,08;2013/14
Verona;25,5;22;1,24;67,13;2013/14
Juventus;27;12;9,4;329;2014/15
Roma;25,9;24;6,44;276,78;2014/15
Napoli;26,7;23;7,71;262,18;2014/15
Inter;24,5;32;5,93;260,7;2014/15
Milan;25,2;19;5,02;236,13;2014/15
Fiorentina;25,9;30;4,41;216,13;2014/15
Lazio;26,3;27;4,65;167,55;2014/15
Sampdoria;25,6;20;3,23;132,23;2014/15
Genoa;25,1;21;2,44;117,33;2014/15
Udinese;23,9;36;2,14;107,18;2014/15
Palermo;24,9;22;2,32;92,6;2014/15
Sassuolo;26,3;8;2,22;91,03;2014/15
Atalanta;26,9;16;1,99;83,48;2014/15
Torino;26;21;1,84;82,58;2014/15
Cagliari;24,5;14;2,08;74,7;2014/15
Parma;25,1;24;1,2;65,95;2014/15
Chievo;27,6;23;1,55;62,05;2014/15
Empoli;23,8;13;1,35;54,03;2014/15
Verona;26,4;23;1,1;41,8;2014/15
Cesena;25,9;10;0,923;34,15;2014/15
Juventus;25,5;21;11,58;440;2015/16
Roma;24,7;33;6,94;332,9;2015/16
Napoli;25,9;22;9,47;321,93;2015/16
Inter;25,2;30;7,01;294,28;2015/16
Milan;25,5;16;5,09;213,83;2015/16
Fiorentina;26,1;29;4,89;190,53;2015/16
Lazio;25,7;26;4,61;175,3;2015/16
Sampdoria;26;22;2,94;126,53;2015/16
Genoa;24,2;27;2,5;117,55;2015/16
Sassuolo;24,7;5;2,49;97;2015/16
Udinese;26,3;31;2,16;93;2015/16
Torino;25,7;17;2,3;89,83;2015/16
Atalanta;26,8;15;1,78;78,45;2015/16
Bologna;25,7;17;1,79;75,23;2015/16
Empoli;24,1;16;1,96;74,6;2015/16
Palermo;24,5;21;1,72;68,68;2015/16
Carpi;25,9;18;1,27;52,05;2015/16
Chievo;27,5;17;1,24;49,78;2015/16
Verona;25,9;20;1,14;47,73;2015/16
Frosinone;26,2;10;1,09;38,3;2015/16
Juventus;26,2;19;13,08;497,18;2016/17
Napoli;25,7;22;10,47;387,38;2016/17
Roma;23,7;25;7,55;354,68;2016/17
Inter;25,4;29;8,01;328,3;2016/17
Milan;24,9;21;6,06;254,33;2016/17
Lazio;23,7;33;4,92;226,45;2016/17
Fiorentina;24,1;30;5,17;217,08;2016/17
Torino;24,3;24;3,18;162,35;2016/17
Atalanta;25,5;16;3,68;161,7;2016/17
Sassuolo;24,5;7;3,03;145,25;2016/17
Sampdoria;24,7;28;2,8;117,58;2016/17
Genoa;25,8;23;2,46;108,18;2016/17
Udinese;24,5;34;2,32;101,95;2016/17
Bologna;24,7;22;1,98;95;2016/17
Cagliari;24,7;16;1,33;61,08;2016/17
Empoli;24,5;17;1,32;55,45;2016/17
Pescara;24,7;19;0,962;48,1;2016/17
Chievo;26,3;20;1,04;45,88;2016/17
Palermo;24,4;23;1,05;41,1;2016/17
Crotone;25;12;0,992;36,7;2016/17
Juventus;26,6;17;19,79;653,15;2017/18
