Team;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20;2020/21
Bayern Munich;3;2;1;1;1;1;1;1;1;1;1
Schalke 04;14;3;4;3;6;5;10;2;14;12;18
Werder Bremen;13;9;14;12;10;13;8;11;8;16;17
Leverkusen;2;5;3;4;4;3;12;5;4;5;6
Dortmund;1;1;2;2;7;2;3;4;2;2;3
Stuttgart;12;6;12;15;14;17;19;7;16;20;9
Hamburg;8;15;7;16;16;10;14;17;;;
Wolfsburg;15;8;11;5;2;8;16;16;6;7;4
Mainz;5;13;13;7;11;6;15;14;12;13;12
Ein Frankfurt;17;20;6;13;9;16;11;8;7;9;5
Hoffenheim;11;11;16;9;8;15;4;3;9;6;11
M'gladbach;16;4;8;6;3;4;9;9;5;4;8
FC Koln;10;17;;19;12;9;5;18;19;14;16
Freiburg;9;12;5;14;17;20;7;15;13;8;10
Hannover;4;7;9;10;13;18;20;13;17;;
Nurnberg;6;10;10;17;;;;20;18;;
Bochum;;;;;;;;;;;19
Hertha;19;16;19;11;15;7;6;10;11;10;14
Kaiserslautern;7;18;;;;;;;;;
St Pauli;18;;;;;;;;;;
Augsburg;20;14;15;8;5;12;13;12;15;15;13
Fortuna Dusseldorf;;21;17;;;;;19;10;17;
Greuther Furth;;19;18;;;;;;;;20
Braunschweig;;;20;18;;;;;;;
Paderborn;;;;20;18;;;;20;18;
Ingolstadt;;;;;19;11;17;;;;
Union Berlin;;;;;;;;;21;11;7
Bielefeld;;;;;;;;;;19;15
Darmstadt;;;;;20;14;18;;;;
RB Leipzig;;;;;;19;2;6;3;3;2
