Team;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20;2020/21
Barcelona;1;2;1;2;1;1;2;1;1;2;3
Real Madrid;2;1;2;3;2;2;1;3;3;1;2
Valencia;3;3;5;8;4;12;12;4;4;9;13
Sevilla;5;9;9;5;5;7;4;7;6;4;4
Mallorca;17;8;18;;;;;;25;19;22
Getafe;16;11;10;13;15;19;23;8;5;8;15
Villarreal;4;18;22;6;6;4;5;5;14;5;7
Ath Bilbao;6;10;12;4;7;5;7;16;8;11;10
Ath Madrid;7;5;3;1;3;3;3;2;2;3;1
La Coruna;18;21;19;22;16;15;16;18;;;
Espanol;8;14;13;14;10;14;8;11;7;20;21
Osasuna;9;7;16;18;;26;19;;21;10;11
Almeria;20;;23;17;19;;;;;;
Zaragoza;14;16;20;;;;;;;;
Sp Gijon;10;19;;;22;17;18;;;;
Santander;12;20;;;;;;;;;
Malaga;11;4;6;11;9;8;11;20;;;
Valladolid;;23;14;19;;;;25;16;13;19
Levante;15;6;11;10;14;20;21;15;15;12;14
Sociedad;13;12;4;7;12;9;6;12;9;6;5
Hercules;19;;;;;;;;;;
Betis;21;13;7;20;21;10;15;6;10;15;6
Vallecano;22;15;8;12;11;18;;21;20;;26
Granada;25;17;15;15;17;16;20;;22;7;9
Celta;;22;17;9;8;6;13;13;17;17;8
Elche;;;21;16;13;;;;;26;17
Eibar;;;;21;18;13;10;9;12;14;20
Cordoba;;;;27;20;;;;;;
Las Palmas;;;;;24;11;14;19;;;
Alaves;;;;;;21;9;14;11;16;16
Leganes;;;;;;22;17;17;13;18;
Girona;;;;;;;22;10;18;;
Huesca;;;;;;;;22;19;21;18
Cadiz;;;;;;;;;;22;12
