Team;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20;2020/21
Marseille;2;10;2;6;4;13;5;4;5;2;5
Lyon;3;4;3;5;2;2;4;3;3;7;4
Auxerre;9;20;;;;;;;;;
Lille;1;3;6;3;8;5;12;17;2;4;1
Montpellier;14;1;9;15;7;12;15;10;6;8;8
Bordeaux;7;5;7;7;6;11;6;6;14;12;12
Lorient;11;17;8;8;16;15;18;;;21;16
Monaco;18;;21;2;3;3;1;2;17;9;3
Rennes;6;6;13;12;9;8;8;5;10;3;6
Valenciennes;12;12;11;19;;;;;;;
Lens;19;;;22;20;;;;;22;7
Nancy;13;11;18;;;21;19;;;;
Paris SG;4;2;1;1;1;1;2;1;1;1;2
Toulouse;8;8;10;9;17;17;13;18;16;20;
Nice;17;13;4;17;11;4;3;8;7;5;9
Sochaux;5;14;15;18;;;;;;;
St Etienne;10;7;5;4;5;6;9;7;4;17;11
Le Mans;;;;;;;;;;;
Caen;15;18;;23;13;7;17;16;19;;
Brest;16;15;20;;;;;;22;14;17
Arles;20;;;;;;;;;;
Evian Thonon Gaillard;21;9;16;14;18;;;;;;
Ajaccio;22;16;17;20;;;;;;;
Dijon;23;19;;;;22;16;11;18;16;20
Bastia;;21;12;10;12;10;20;;;;
Reims;;22;14;11;15;18;;21;8;6;14
Troyes;;23;19;;21;20;23;19;;;21
Nantes;;;23;13;14;14;7;9;12;13;18
Guingamp;;;22;16;10;16;10;12;20;;
Metz;;;;21;19;23;14;20;21;15;10
Angers;;;;;23;9;11;14;13;11;13
Ajaccio GFCO;;;;;22;19;;;;;
Amiens;;;;;;;22;13;15;19;
Strasbourg;;;;;;;21;15;11;10;15
Nimes;;;;;;;;22;9;18;19
Clermont;;;;;;;;;;;22
