Team;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20;2020/21
Inter;2;6;9;5;8;4;7;4;4;2;1
Roma;6;7;6;2;2;3;2;3;6;5;7
Milan;1;2;3;8;10;7;6;6;5;6;2
Sampdoria;18;26;14;12;7;15;11;10;9;15;9
Palermo;8;16;18;21;11;16;19;;;;
Napoli;3;5;2;3;5;2;3;2;2;7;5
Juventus;7;1;1;1;1;1;1;1;1;1;4
Parma;12;8;10;6;20;;;22;14;11;20
Genoa;10;17;17;13;6;10;16;12;17;17;11
Bari;20;;;;;;;;;;
Fiorentina;9;13;4;4;4;5;8;8;16;10;13
Lazio;5;4;7;9;3;8;5;5;8;4;6
Catania;13;11;8;18;;;;;;;
Chievo;11;10;12;16;14;9;14;13;20;;
Udinese;4;3;5;14;16;17;13;14;12;13;14
Cagliari;14;15;11;15;18;21;12;16;15;14;16
Bologna;16;9;13;19;24;14;15;15;10;12;12
Atalanta;21;12;15;11;17;13;4;7;3;3;3
Siena;22;14;19;;;;;;;;
Livorno;;;23;20;;;;;;;
Cesena;15;20;;24;19;;;;;;
Lecce;17;18;;;;;;;22;18;
Brescia;19;;;;;;;;21;19;
Novara;23;19;;;;;;;;;
Torino;;22;16;7;9;12;9;9;7;16;17
Pescara;;21;20;;;24;20;;;;
Verona;;;22;10;13;20;22;19;25;9;10
Sassuolo;;;21;17;12;6;10;11;11;8;8
Empoli;;;;22;15;11;18;21;18;;21
Carpi;;;;;21;18;;;;;
Frosinone;;;;;22;19;;23;19;;
Crotone;;;;;;22;17;18;;22;19
Spal;;;;;;;21;17;13;20;
Spezia;;;;;;;;;;23;15
Benevento;;;;;;;25;20;;21;18
Salernitana;;;;;;;;;;;22
Venezia;;;;;;;;;;;25
