Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;Attendance;Referee;HS;AS;HST;AST;HHW;AHW;HC;AC;HF;AF;HO;AO;HY;AY;HR;AR;HBP;ABP;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA
D1;11.08.2000;Dortmund;Hansa Rostock;1;0;H;0;0;D;61000;J?rg Kessler ;17;5;7;2;0;0;7;3;25;19;4;8;1;5;0;0;10;50;01.maj;03.kwi;5;sty.45;03.maj;5;;;;01.maj;03.maj;6;sty.44;03.cze;06.maj
D1;12.08.2000;Bayern Munich;Hertha;4;1;H;1;0;H;57000;Markus Merk ;14;11;6;5;1;0;4;9;13;12;3;3;1;0;0;0;10;0;01.mar;04.maj;6;sty.45;03.maj;5;;;;01.kwi;mar.75;7;sty.44;03.cze;06.maj
D1;12.08.2000;Freiburg;Stuttgart;4;0;H;2;0;H;22500;Helmut Krug ;15;18;7;5;0;0;4;7;22;17;0;0;1;1;0;0;10;10;02.kwi;03.sty;02.maj;02.mar;02.wrz;02.maj;;;;02.cze;mar.25;lut.38;02.kwi;03.lut;02.maj
D1;12.08.2000;Hamburg;Munich 1860;2;2;D;2;2;D;35000;Herbert Fandel ;18;9;5;7;1;0;5;3;0;0;0;0;2;2;0;1;20;45;01.sie;03.mar;03.sie;01.sie;3;03.maj;;;;sty.75;03.mar;4;sty.66;03.mar;04.maj
D1;12.08.2000;Kaiserslautern;Bochum;0;1;A;0;0;D;38000;Helmut Fleischer ;11;5;2;2;0;0;5;5;9;8;0;0;1;0;0;0;10;0;01.maj;03.kwi;04.cze;sty.45;03.maj;5;;;;sty.44;03.sie;6;01.maj;03.cze;05.maj
D1;12.08.2000;Leverkusen;Wolfsburg;2;0;H;2;0;H;22500;Edgar Steinborn ;18;5;5;5;0;0;6;4;25;22;0;0;0;2;0;0;0;20;01.kwi;4;05.maj;sty.55;03.mar;04.maj;;;;sty.44;03.sie;6;sty.44;03.cze;06.maj
D1;12.08.2000;Werder Bremen;Cottbus;3;1;H;2;1;H;30000;Wolfgang Stark ;12;3;2;3;0;0;3;2;9;6;0;0;3;3;0;0;30;30;01.maj;03.cze;6;sty.45;03.maj;5;;;;01.kwi;mar.75;7;01.maj;03.kwi;6
D1;13.08.2000;Ein Frankfurt;Unterhaching;3;0;H;1;0;H;35000;Hartmut Strampe ;7;15;5;3;1;2;7;6;15;19;2;2;1;1;0;0;10;10;sty.75;3;04.maj;sty.65;03.sty;4;01.sie;mar.25;mar.75;01.sie;03.lut;03.wrz;sty.72;03.lut;04.lut
D1;13.08.2000;Schalke 04;FC Koln;2;1;H;2;0;H;62109;Hermann Albrecht ;16;10;6;3;1;0;6;5;15;26;0;0;2;3;0;0;20;30;sty.95;3;03.mar;sty.85;02.wrz;03.kwi;01.sie;mar.25;mar.75;sty.85;mar.25;03.cze;sty.75;mar.25;4
D1;18.08.2000;Cottbus;Dortmund;1;4;A;0;0;D;20500;Franz-Xaver Wack ;11;10;3;5;0;0;8;4;25;20;1;1;2;2;0;0;20;20;02.wrz;3;02.sty;3;02.wrz;2;;;;03.sty;03.lut;02.sty;03.lut;3;02.sty
D1;19.08.2000;Munich 1860;Werder Bremen;2;1;H;1;1;D;23000;Bernd Heynemann ;11;7;5;2;0;1;2;5;10;12;1;4;0;0;0;0;0;0;01.wrz;02.wrz;03.lip;01.wrz;02.wrz;03.lut;;;;sty.91;mar.25;03.maj;01.wrz;03.lut;03.maj
D1;19.08.2000;Bochum;Bayern Munich;0;3;A;0;3;A;31013;Alfons Berg ;14;13;3;9;0;0;7;1;11;11;2;1;1;0;0;0;10;0;maj.75;03.sty;sty.47;03.cze;03.sty;sty.75;;;;5;03.maj;sty.53;05.maj;03.kwi;sty.53
D1;19.08.2000;Hertha;Hamburg;4;0;H;3;0;H;40000;JÅrgen Aust ;11;5;7;2;0;0;6;3;13;13;10;1;4;3;0;1;40;55;02.sty;03.sty;3;2;02.wrz;3;;;;02.sty;03.lut;3;02.sty;03.sty;03.sty
D1;19.08.2000;Stuttgart;Leverkusen;4;1;H;2;0;H;25000;Herbert Fandel ;9;6;6;1;0;0;8;4;13;26;4;8;1;4;0;0;10;40;02.wrz;3;02.mar;02.kwi;02.wrz;02.kwi;;;;03.kwi;mar.25;2;02.sie;03.lut;02.lut
D1;19.08.2000;Unterhaching;Freiburg;1;1;D;1;0;H;10200;Lutz Wagner ;13;12;6;7;1;0;6;5;14;12;0;0;2;2;0;0;20;20;sty.95;02.sie;03.cze;02.sty;02.wrz;02.wrz;;;;2;mar.25;mar.25;2;03.lut;03.lut
D1;19.08.2000;Wolfsburg;Kaiserslautern;4;0;H;1;0;H;18000;Peter Sippel ;18;14;10;2;1;0;7;7;16;20;2;2;2;3;0;1;20;55;lut.25;3;02.wrz;02.sty;02.wrz;02.wrz;;;;lut.25;03.lut;02.sie;lut.25;03.sty;02.sie
D1;20.08.2000;FC Koln;Ein Frankfurt;4;1;H;2;0;H;35000;JÅrgen Jansen ;12;6;7;3;0;0;1;12;17;9;6;1;0;1;0;0;0;10;02.sty;3;02.wrz;01.wrz;02.wrz;03.lut;;;;02.sty;mar.25;3;01.wrz;03.lut;03.maj
D1;20.08.2000;Hansa Rostock;Schalke 04;0;4;A;0;3;A;15000;Uwe Kemmling ;17;16;6;11;0;0;5;4;12;10;1;3;2;3;1;0;45;30;02.mar;lut.95;02.maj;02.lut;02.sie;02.sie;;;;02.lut;03.lut;lut.88;02.mar;3;02.sie
D1;05.09.2000;Freiburg;FC Koln;0;0;D;0;0;D;25000;Florian Meyer ;13;11;5;3;1;0;9;3;13;13;1;0;1;3;0;0;10;30;sty.85;03.lut;03.lip;sty.75;03.sty;03.cze;;;;sty.85;03.lut;mar.75;01.wrz;03.lut;03.maj
D1;05.09.2000;Kaiserslautern;Stuttgart;1;0;H;1;0;H;37940;Franz-Xaver Wack ;7;16;5;3;0;0;3;6;16;24;7;2;4;2;0;0;40;20;02.maj;mar.15;03.lut;2;02.wrz;3;2;03.kwi;3;2;3;03.maj;01.wrz;03.lut;03.maj
D1;05.09.2000;Leverkusen;Unterhaching;1;0;H;1;0;H;22500;B.Zerr ;17;0;8;0;0;0;8;0;21;29;2;2;5;2;0;1;50;45;01.lut;04.sie;08.maj;sty.25;04.mar;8;;;;sty.33;4;08.maj;01.mar;4;09.maj
D1;05.09.2000;Schalke 04;Cottbus;3;0;H;2;0;H;36200;Edgar Steinborn ;15;5;12;3;0;0;5;2;16;13;3;0;0;4;0;0;0;40;sty.25;04.kwi;8;01.mar;4;7;01.kwi;mar.75;7;01.kwi;mar.75;07.maj;sty.36;mar.75;8
D1;06.09.2000;Bayern Munich;Wolfsburg;3;1;H;2;0;H;41000;Lutz Wagner ;16;15;8;9;0;1;11;5;16;19;3;1;0;3;0;0;0;30;01.lut;04.maj;9;sty.25;04.mar;8;01.mar;4;9;01.mar;4;10;01.mar;4;09.maj
D1;06.09.2000;Dortmund;Munich 1860;2;3;A;1;1;D;56000;Alfons Berg ;12;8;4;5;0;1;7;4;12;20;1;1;3;2;0;0;30;20;01.sie;mar.25;4;01.lip;03.sty;03.sie;01.lip;03.maj;mar.75;sty.75;03.lut;kwi.33;sty.61;mar.25;5
D1;06.09.2000;Ein Frankfurt;Hansa Rostock;4;0;H;0;0;D;20000;Michael Weiner ;6;12;5;3;0;3;3;5;16;13;3;2;3;3;1;1;55;55;sty.85;03.sty;03.wrz;sty.75;03.sty;03.cze;01.sie;03.kwi;03.cze;01.sie;03.lut;4;01.sie;mar.25;03.sie
D1;06.09.2000;Hamburg;Werder Bremen;2;1;H;1;0;H;40000;Helmut Fleischer ;18;6;11;3;0;1;10;3;20;20;6;9;2;2;0;0;20;20;sty.95;03.sty;03.kwi;01.wrz;02.wrz;03.lut;;;;sty.95;03.lut;03.maj;2;lut.87;03.cze
D1;06.09.2000;Hertha;Bochum;4;0;H;3;0;H;30000;Hartmut Strampe ;21;8;6;1;0;0;3;6;13;8;0;4;0;2;0;0;0;20;01.kwi;03.cze;06.maj;sty.45;03.maj;5;01.maj;03.maj;05.maj;01.maj;03.maj;6;01.maj;03.kwi;6
D1;08.09.2000;Unterhaching;Kaiserslautern;0;0;D;0;0;D;13000;Helmut Krug ;18;19;9;10;0;1;8;8;23;15;2;6;0;1;0;0;0;10;lut.35;3;02.sie;;;;;;;02.maj;03.lut;02.maj;lut.62;03.sty;02.kwi
D1;09.09.2000;FC Koln;Leverkusen;1;1;D;0;1;A;40000;Markus Merk ;7;9;2;2;1;2;2;8;11;21;3;2;2;2;0;1;20;45;02.wrz;03.sty;lut.15;3;02.wrz;2;02.cze;03.kwi;lut.25;3;mar.25;02.sty;3;03.lut;02.sty
D1;09.09.2000;Munich 1860;Schalke 04;1;1;D;0;0;D;40000;Peter Gagelmann ;16;8;7;4;2;0;8;2;17;10;3;1;2;3;0;0;20;30;sty.95;mar.15;03.mar;01.wrz;02.wrz;03.lut;02.lut;mar.25;lut.75;2;03.lut;03.mar;2;03.lut;03.lut
D1;09.09.2000;Bochum;Hamburg;0;4;A;0;2;A;23500;J?rg Kessler ;2;21;1;6;0;3;3;5;20;18;3;0;1;2;1;0;35;20;lut.45;mar.15;lut.55;02.kwi;02.wrz;02.kwi;02.maj;mar.25;02.kwi;lut.63;03.lut;lut.38;lut.62;03.sty;02.kwi
D1;09.09.2000;Stuttgart;Bayern Munich;2;1;H;1;1;D;51165;Bernd Heynemann ;8;9;5;2;0;0;6;3;18;21;1;4;3;3;0;0;30;30;03.mar;03.sty;2;02.wrz;02.wrz;02.sty;03.cze;03.sty;01.wrz;03.maj;mar.25;01.wrz;mar.75;03.mar;01.sie
D1;09.09.2000;Werder Bremen;Dortmund;1;2;A;0;1;A;35000;Lutz Michael Fr?hlich ;9;14;4;5;0;1;3;3;12;23;6;8;3;2;0;0;30;20;02.lut;03.sty;02.wrz;02.lut;02.wrz;02.lip;lut.25;03.lut;lut.75;lut.15;mar.25;3;lut.25;03.sty;02.sie
D1;09.09.2000;Wolfsburg;Hertha;2;1;H;1;0;H;16333;Hermann Albrecht ;14;10;6;4;1;0;7;9;22;17;0;1;2;3;0;0;20;30;lut.15;03.sty;3;02.lut;02.wrz;02.lip;02.sty;03.lut;3;02.lut;03.lut;lut.88;lut.25;03.sty;02.sie
D1;10.09.2000;Cottbus;Ein Frankfurt;2;0;H;0;0;D;14012;JÅrgen Aust ;17;10;9;2;2;0;8;2;15;15;7;0;2;4;0;0;20;40;lut.25;03.lut;02.sie;02.lut;02.wrz;02.lip;02.kwi;mar.25;02.maj;02.mar;03.lut;lut.75;02.mar;03.sty;lut.75
D1;10.09.2000;Hansa Rostock;Freiburg;0;0;D;0;0;D;20000;JÅrgen Jansen ;14;7;5;5;1;0;13;7;28;18;4;2;1;2;0;0;10;20;02.lut;mar.15;02.wrz;2;02.wrz;3;02.sty;03.lut;3;lut.25;03.sty;lut.88;02.sty;03.lut;3
D1;15.09.2000;Kaiserslautern;FC Koln;3;1;H;1;1;D;38000;Hartmut Strampe ;18;13;8;7;1;0;5;3;14;15;1;2;1;1;1;0;35;10;sty.66;03.kwi;04.mar;01.cze;03.lut;04.lut;01.lip;03.kwi;4;sty.67;mar.25;kwi.75;sty.57;03.maj;5
D1;16.09.2000;Bayern Munich;Unterhaching;3;1;H;1;1;D;48000;JÅrgen Jansen ;15;14;6;3;0;1;4;6;16;20;4;3;2;0;0;0;20;0;sty.25;05.lut;8;sty.25;04.mar;8;sty.25;04.maj;10;sty.22;5;10;sty.16;5;15
D1;16.09.2000;Bochum;Wolfsburg;2;1;H;1;0;H;10000;Lutz Michael Fr?hlich ;9;21;5;11;0;0;5;16;13;15;3;4;2;3;0;0;20;30;02.lut;03.lut;lut.85;02.kwi;02.wrz;02.kwi;02.maj;mar.25;lut.35;02.cze;03.lut;02.kwi;02.kwi;mar.25;02.maj
D1;16.09.2000;Ein Frankfurt;Munich 1860;1;0;H;1;0;H;30000;Helmut Krug ;9;16;2;4;2;0;7;6;18;24;1;2;3;4;0;0;30;40;02.mar;03.lut;lut.65;02.mar;02.wrz;02.maj;lut.35;mar.25;02.maj;lut.38;03.sty;02.lip;02.maj;03.sty;02.maj
D1;16.09.2000;Freiburg;Cottbus;4;1;H;0;0;D;;Helmut Fleischer ;20;7;10;2;1;0;7;3;17;9;3;2;1;1;0;0;10;10;sty.51;mar.45;06.sty;sty.45;03.maj;5;sty.55;03.maj;5;01.maj;03.maj;6;sty.61;mar.25;5
D1;16.09.2000;Hamburg;Dortmund;2;3;A;1;1;D;46694;Bernd Heynemann ;9;7;3;6;0;0;6;8;17;18;4;3;2;1;0;0;20;10;02.maj;mar.25;mar.15;2;02.wrz;3;2;03.kwi;3;02.sty;03.sty;03.lut;02.sty;3;03.lut
