Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5
D1;09.08.2002;Dortmund;Hertha;2;2;D;2;1;H;;;;;;;;;;;;;;;;;;;sty.72;03.lut;kwi.33;sty.75;sty.98;;
D1;10.08.2002;Cottbus;Leverkusen;1;1;D;0;0;D;3;03.lut;02.sty;mar.29;mar.21;02.lut;03.sty;3;02.sty;3;03.kwi;2;lut.88;03.lut;02.lut;3;03.sty;02.lut;03.mar;03.sty;2;01.lip;sty.96;;
D1;10.08.2002;M'gladbach;Bayern Munich;0;0;D;0;0;D;4;03.maj;1.727;04.lut;03.maj;sty.86;4;03.lut;sty.75;03.maj;03.kwi;1.833;03.cze;03.lut;sty.91;4.333;mar.25;1.727;03.sie;03.lut;sty.83;sty.82;sty.94;;
D1;10.08.2002;Nurnberg;Bochum;1;3;A;0;2;A;1.909;mar.25;03.kwi;sty.95;mar.23;03.lip;01.wrz;03.sty;03.maj;2;03.kwi;3;sty.91;03.lut;03.cze;1.909;mar.25;03.cze;sty.83;3;4;sty.72;sty.92;;
D1;10.08.2002;Schalke 04;Wolfsburg;1;0;H;0;0;D;1.571;03.maj;5;sty.68;mar.46;maj.37;01.cze;03.kwi;04.cze;1.571;03.maj;5;sty.53;03.maj;05.maj;1.571;03.maj;05.maj;sty.57;mar.25;05.maj;sty.65;sty.95;;
D1;10.08.2002;Stuttgart;Kaiserslautern;1;1;D;1;0;H;02.sty;03.lut;3;02.maj;mar.21;mar.21;2;03.sty;03.lut;02.sty;03.lut;3;02.sty;mar.25;3;02.maj;03.lut;03.lut;02.sty;3;03.lut;01.sie;sty.91;;
D1;11.08.2002;Bielefeld;Werder Bremen;3;0;H;1;0;H;2.625;03.lut;02.mar;lut.63;mar.16;02.cze;02.maj;3;02.maj;02.cze;03.lut;2.375;;;;02.cze;03.sty;02.maj;02.maj;03.sty;02.maj;sty.82;sty.95;;
D1;11.08.2002;Hamburg;Hannover;2;1;H;0;1;A;1.667;03.kwi;4.333;sty.92;03.mar;03.sie;01.sie;03.sty;03.sie;1.727;03.kwi;4;sty.73;mar.25;kwi.33;1.727;03.mar;04.maj;sty.66;03.mar;04.maj;01.lip;02.sty;;
D1;14.08.2002;Munich 1860;Hansa Rostock;0;2;A;0;1;A;1.727;03.lut;4.333;sty.76;mar.31;kwi.61;sty.75;03.lut;4;1.727;03.kwi;4;sty.66;03.kwi;04.maj;1.727;03.mar;04.maj;sty.66;03.mar;04.maj;sty.69;sty.95;;
D1;17.08.2002;Bayern Munich;Bielefeld;6;2;H;3;0;H;1.222;5;9;sty.24;maj.15;pa«.75;sty.25;04.maj;9;sty.25;04.maj;10;sty.22;5;10;1.222;5;11;sty.22;5;09.maj;sty.57;02.gru;;
D1;17.08.2002;Bochum;Cottbus;5;0;H;3;0;H;1.833;03.lut;mar.75;01.wrz;03.mar;mar.85;01.wrz;03.sty;03.maj;01.sie;03.lut;4;01.sie;03.lut;4;1.909;03.lut;mar.75;01.sie;03.mar;mar.75;sty.67;sty.97;;
D1;17.08.2002;Hannover;Munich 1860;1;3;A;1;2;A;02.sty;03.lut;3;sty.95;03.mar;mar.15;2;03.sty;03.lut;2;03.lut;03.lut;02.sty;mar.25;3;02.sty;03.lut;03.lut;2;03.sty;03.mar;sty.67;sty.97;;
D1;17.08.2002;Hansa Rostock;Nurnberg;2;0;H;1;0;H;1.833;03.lut;mar.75;01.lip;mar.36;04.sty;sty.75;03.lut;4;1.667;mar.25;04.maj;sty.73;mar.25;kwi.33;01.sie;mar.25;04.lut;sty.72;mar.25;04.lut;sty.77;sty.87;;
D1;17.08.2002;Hertha;Stuttgart;1;1;D;0;1;A;1.615;03.maj;04.maj;01.maj;03.kwi;maj.25;sty.55;03.maj;04.sie;1.571;03.maj;5;sty.53;03.maj;05.maj;1.615;03.maj;5;sty.57;03.maj;5;sty.67;sty.98;;
D1;17.08.2002;Kaiserslautern;Schalke 04;1;3;A;1;0;H;lut.25;03.lut;lut.75;02.mar;mar.15;lut.87;02.sty;3;03.sty;lut.25;03.lut;lut.75;02.lut;mar.25;02.sie;02.mar;03.sty;2.875;02.sty;3;03.lut;sty.77;sty.87;;
D1;17.08.2002;Leverkusen;Dortmund;1;1;D;1;0;H;02.sty;3;03.lut;lut.16;mar.18;03.lut;02.sty;3;03.sty;02.sty;03.lut;3;2;03.lut;03.mar;02.sty;03.sty;03.lut;02.sty;3;03.lut;sty.77;sty.87;;
D1;18.08.2002;Werder Bremen;Hamburg;2;1;H;1;1;D;02.sty;3;03.lut;02.sty;03.lut;mar.31;02.lut;3;02.wrz;1.909;mar.25;03.kwi;2;03.lut;03.mar;02.sty;03.lut;mar.25;02.sty;3;03.lut;01.cze;02.lip;;
D1;18.08.2002;Wolfsburg;M'gladbach;1;0;H;0;0;D;1.833;03.lut;mar.75;01.sie;03.mar;mar.96;01.sie;03.sty;03.sie;01.sie;mar.25;mar.75;sty.73;mar.25;kwi.33;01.sie;03.lut;4.333;01.sie;03.sty;4;sty.72;sty.93;;
