Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
D1;01.08.2003;Bayern Munich;Ein Frankfurt;3;1;H;3;0;H;17;6;19;17;4;3;1;2;0;0;01.lut;5;11;sty.25;5;10;sty.25;04.maj;9;sty.25;04.maj;10;sty.22;5;10;sty.22;5;10;sty.25;04.maj;10;01.maj;lut.25;;;2;01.sie;-2;01.sie;02.maj;-1.75;;;
D1;02.08.2003;Hamburg;Hannover;0;3;A;0;1;A;10;16;14;19;7;4;3;1;0;0;1.571;03.maj;5;sty.65;03.maj;kwi.75;sty.65;03.mar;04.kwi;1.571;03.maj;5;sty.57;03.maj;maj.25;sty.57;03.maj;maj.25;sty.57;03.maj;5;sty.65;sty.95;;;sty.75;02.sty;-0.75;02.maj;01.sie;-1;01.sie;02.sty;-0.75
D1;02.08.2003;Hertha;Werder Bremen;0;3;A;0;2;A;23;19;12;23;6;6;1;1;0;0;1.833;03.lut;mar.75;sty.85;mar.25;4;01.sie;03.sty;03.sie;01.sie;mar.25;mar.75;sty.83;03.mar;mar.75;01.sie;mar.25;4;sty.72;03.kwi;4;01.lip;01.wrz;;;01.sie;2;-0.5;01.sie;02.maj;-0.5;2.025;1.875;-0.75
D1;02.08.2003;Kaiserslautern;Munich 1860;0;1;A;0;1;A;13;15;17;21;8;8;2;3;1;0;01.sie;03.mar;mar.75;sty.85;mar.25;03.wrz;01.wrz;03.sty;03.maj;01.sie;mar.25;mar.75;sty.85;mar.25;mar.75;sty.85;mar.25;mar.75;01.wrz;03.lut;03.maj;sty.65;sty.95;;;01.sie;2;-0.5;01.sie;02.maj;-0.5;1.825;2.075;-0.5
D1;02.08.2003;Leverkusen;Freiburg;4;1;H;3;1;H;21;10;18;12;7;6;0;3;0;0;1.667;03.mar;04.maj;sty.65;03.kwi;kwi.75;01.lip;03.lut;04.lut;1.615;03.maj;04.maj;sty.62;03.kwi;5;sty.61;03.kwi;5;sty.61;03.mar;5;01.cze;2;;;01.sie;2;-0.75;01.sie;02.maj;-0.75;1.925;1.975;-0.75
D1;02.08.2003;Schalke 04;Dortmund;2;2;D;1;0;H;20;7;25;25;7;3;2;3;1;0;2.375;03.sty;2.625;lut.35;03.lut;lut.75;02.mar;3;02.lip;2.375;03.lut;02.cze;02.mar;03.sty;02.sie;02.mar;03.sty;02.sie;02.mar;03.sty;lut.75;sty.75;sty.85;;;02.maj;sty.75;-0.25;02.maj;01.sie;-0.25;2.125;1.775;-0.25
D1;02.08.2003;Wolfsburg;Bochum;3;2;H;2;2;D;15;16;18;20;4;4;3;4;0;0;1.727;03.mar;04.lut;sty.75;03.kwi;04.mar;sty.75;03.lut;4;1.727;03.kwi;4;sty.75;mar.25;04.lut;01.lip;mar.25;04.maj;sty.72;mar.25;04.lut;01.lip;01.wrz;;;02.sty;01.lip;-1;01.sie;02.maj;-0.75;1.875;2.025;-0.75
D1;03.08.2003;Hansa Rostock;Stuttgart;0;2;A;0;0;D;10;15;21;27;7;4;1;4;0;0;2.625;03.sty;2.375;lut.65;mar.25;02.kwi;02.maj;3;02.maj;02.maj;mar.25;02.kwi;lut.63;03.lut;lut.38;lut.62;03.lut;lut.37;lut.62;03.lut;02.mar;sty.75;sty.85;;;01.wrz;01.wrz;0;2;sty.85;0;02.sty;01.sie;0
D1;03.08.2003;M'gladbach;FC Koln;1;0;H;0;0;D;16;11;19;23;6;1;1;2;0;1;1.833;03.lut;mar.75;2;mar.25;03.kwi;01.wrz;03.sty;03.maj;1.833;03.kwi;03.maj;sty.91;mar.25;03.maj;01.wrz;mar.25;03.maj;01.wrz;03.lut;03.maj;01.lip;01.wrz;;;sty.95;sty.85;-0.5;sty.95;01.wrz;-0.5;2;01.wrz;-0.5
D1;09.08.2003;Bochum;Hamburg;1;1;D;1;1;D;12;13;11;28;5;3;0;3;0;0;02.kwi;mar.25;02.maj;02.maj;mar.25;lut.55;02.maj;3;02.maj;02.kwi;mar.25;02.maj;02.maj;03.lut;02.maj;02.maj;03.lut;02.maj;lut.37;03.sty;lut.62;sty.65;02.maj;01.sie;01.wrz;sty.85;sty.95;0;sty.95;01.wrz;0;1.875;2.025;0
D1;09.08.2003;Dortmund;Wolfsburg;4;0;H;1;0;H;17;9;15;18;5;3;0;3;0;0;1.571;03.maj;5;sty.55;03.lip;05.maj;01.maj;03.lip;5;01.maj;03.kwi;6;sty.53;03.maj;05.maj;sty.53;03.cze;05.maj;sty.44;03.cze;06.maj;sty.65;02.maj;sty.72;2;01.sie;2;-0.75;02.maj;01.sie;-1;01.wrz;2;-0.75
D1;09.08.2003;FC Koln;Kaiserslautern;1;2;A;1;1;D;21;18;17;20;3;12;3;5;0;0;lut.25;03.lut;lut.75;02.kwi;mar.25;lut.65;02.maj;3;02.maj;lut.25;03.kwi;2.625;lut.62;03.lut;lut.38;lut.25;03.lut;02.sie;02.lut;03.lut;02.sie;sty.71;2;01.sie;01.wrz;01.sie;2;0;sty.75;02.sty;0;2.075;1.825;-0.25
D1;09.08.2003;Freiburg;Hansa Rostock;2;2;D;0;2;A;22;9;12;23;7;1;1;2;0;0;2;03.lut;03.lut;02.maj;mar.15;03.kwi;2;03.sty;03.lut;2;03.lut;03.lut;2;mar.25;mar.25;2;mar.25;mar.25;sty.83;03.mar;03.cze;sty.71;2;sty.83;sty.83;01.maj;lut.55;0;02.maj;01.sie;-0.5;2.125;1.775;-0.5
D1;09.08.2003;Hannover;Bayern Munich;3;3;D;3;1;H;9;12;25;17;8;9;2;1;1;0;04.maj;03.mar;1.667;04.maj;mar.45;01.lip;03.cze;03.sty;sty.85;4;03.kwi;1.727;kwi.33;mar.25;sty.73;04.lut;03.kwi;sty.72;4;03.kwi;sty.72;sty.55;lut.25;sty.66;02.sty;01.sie;2;0.75;01.wrz;sty.95;0.75;1.775;2.125;0.75
D1;09.08.2003;Munich 1860;Schalke 04;1;1;D;1;0;H;10;13;21;20;4;2;2;0;0;0;02.kwi;mar.25;02.maj;02.maj;mar.25;lut.55;02.maj;3;02.maj;02.maj;mar.25;02.kwi;lut.38;03.lut;lut.63;lut.37;03.lut;lut.62;02.mar;03.lut;lut.62;sty.75;sty.95;01.sie;01.wrz;01.wrz;01.wrz;0;sty.95;01.wrz;0;1.875;2.025;0
D1;09.08.2003;Werder Bremen;M'gladbach;1;1;D;0;0;D;12;12;18;22;2;9;1;0;0;0;1.571;03.maj;5;01.cze;mar.65;kwi.95;01.cze;03.kwi;04.cze;1.571;03.maj;5;sty.57;03.maj;5;sty.57;03.cze;5;sty.61;03.mar;5;sty.65;02.maj;sty.72;2;01.sie;2;-0.75;2;sty.85;-1;01.sie;02.sty;-0.75
D1;10.08.2003;Ein Frankfurt;Leverkusen;1;2;A;1;0;H;11;11;16;25;3;3;2;3;0;0;2.625;03.sty;2.375;lut.75;03.mar;02.mar;02.wrz;3;02.lut;02.cze;03.lut;2.375;lut.63;03.lut;lut.38;lut.62;03.lut;lut.37;02.cze;03.sty;02.kwi;sty.65;02.maj;sty.72;2;01.sie;2;0.25;01.wrz;sty.95;0.25;01.sie;02.sty;0.25
D1;10.08.2003;Stuttgart;Hertha;0;0;D;0;0;D;12;6;16;28;6;2;1;4;0;1;1.833;03.lut;mar.75;2;mar.25;03.kwi;sty.85;03.sty;03.cze;1.833;mar.25;03.cze;2;03.lut;03.mar;2;03.lut;03.mar;sty.83;03.mar;03.cze;sty.75;sty.95;01.sie;01.wrz;2;01.sie;-0.5;2;sty.85;-0.5;2;01.wrz;-0.5
D1;16.08.2003;Bayern Munich;Bochum;2;0;H;2;0;H;8;17;25;16;3;5;2;1;0;0;sty.25;04.maj;11;sty.23;05.maj;10;sty.25;04.maj;9;01.lut;5;11;01.lut;05.maj;10;01.lut;05.maj;10;sty.22;5;09.maj;01.maj;lut.35;sty.66;02.sty;sty.85;sty.95;-1.75;01.wrz;sty.95;-1.75;1.925;1.975;-1.75
D1;16.08.2003;Dortmund;Munich 1860;3;1;H;0;0;D;13;12;13;21;6;2;1;2;0;0;1.533;03.maj;05.maj;sty.55;03.cze;maj.75;01.maj;03.lip;5;01.maj;03.kwi;6;01.maj;03.maj;6;01.maj;03.maj;6;01.maj;03.kwi;6;sty.67;02.maj;sty.72;2;01.wrz;01.wrz;-1;2;sty.85;-1;2.075;1.825;-1
D1;16.08.2003;Hansa Rostock;Ein Frankfurt;3;0;H;1;0;H;19;13;34;21;6;3;9;3;0;0;1.833;mar.25;mar.75;01.wrz;03.mar;mar.75;01.sie;03.sty;03.sie;1.833;03.kwi;03.maj;sty.83;mar.25;mar.75;sty.85;mar.25;mar.75;01.wrz;03.lut;03.maj;01.lip;2;sty.83;sty.83;sty.85;sty.95;-0.5;01.wrz;sty.95;-0.5;2;01.wrz;-0.5
D1;16.08.2003;Hertha;Freiburg;0;0;D;0;0;D;26;12;24;27;11;6;1;2;0;0;1.571;03.kwi;05.maj;01.cze;03.lip;5;sty.55;03.maj;04.sie;01.maj;03.kwi;6;sty.53;03.maj;05.maj;sty.53;03.maj;05.maj;sty.53;03.kwi;05.maj;sty.65;02.sty;sty.66;02.sty;2;01.sie;-1;2;sty.85;-1;02.sty;01.sie;-1
