Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
D1;06.08.2004;Werder Bremen;Schalke 04;1;0;H;0;0;D;9;8;22;19;5;2;0;1;0;0;01.wrz;mar.25;03.maj;2;mar.25;03.kwi;02.sty;03.mar;mar.35;02.lut;3;02.wrz;1.909;mar.25;03.kwi;2;03.lut;03.mar;2;03.mar;03.sty;sty.65;02.maj;01.lip;02.sty;01.maj;02.kwi;0;sty.96;sty.88;-0.25;sty.95;sty.95;-0.25
D1;07.08.2004;Dortmund;Wolfsburg;1;2;A;1;1;D;24;9;9;20;7;3;0;3;0;0;sty.57;03.kwi;05.maj;sty.55;03.lip;05.kwi;01.cze;mar.65;05.maj;sty.65;03.mar;04.kwi;1.571;03.maj;5;sty.62;03.kwi;5;sty.61;03.maj;04.maj;sty.65;02.maj;sty.75;02.maj;lut.15;sty.65;-1;01.sie;02.kwi;-0.75;sty.85;02.maj;-0.75
D1;07.08.2004;Freiburg;Hansa Rostock;0;0;D;0;0;D;13;7;16;24;5;5;1;2;0;0;02.sty;mar.25;3;2;mar.25;03.kwi;02.maj;mar.25;03.maj;02.sty;3;03.sty;02.sty;03.lut;3;02.sty;03.lut;03.sty;2;03.mar;03.sty;sty.65;02.maj;sty.65;lut.15;01.maj;02.kwi;0;sty.86;sty.98;-0.25;01.wrz;2;-0.25
D1;07.08.2004;Hamburg;Bayern Munich;0;2;A;0;1;A;13;12;18;24;5;3;3;1;0;0;mar.25;mar.25;2;mar.75;03.kwi;sty.85;mar.65;mar.25;2;03.cze;03.lut;01.wrz;mar.75;03.lut;1.833;03.mar;03.lut;2;03.sty;03.mar;2;sty.65;02.maj;01.sie;2;02.maj;01.lip;0.25;sty.94;01.wrz;0.5;01.wrz;2;0.5
D1;07.08.2004;Hertha;Bochum;2;2;D;2;0;H;21;12;18;14;2;1;1;2;0;0;sty.83;mar.25;mar.75;01.lip;03.maj;04.kwi;sty.85;03.mar;kwi.25;sty.75;03.lut;4;1.833;03.lut;mar.75;01.sie;mar.25;4;01.sie;03.mar;mar.75;sty.71;2;01.cze;02.lut;sty.55;02.mar;-0.25;sty.88;sty.96;-0.5;1.875;2.025;-0.5
D1;07.08.2004;Kaiserslautern;Nurnberg;1;3;A;0;1;A;14;24;24;21;10;8;3;2;0;0;sty.72;mar.25;kwi.33;sty.75;03.kwi;04.lut;01.wrz;03.mar;4;sty.85;03.sty;03.cze;01.sie;mar.25;mar.75;sty.85;mar.25;mar.75;01.sie;03.mar;mar.75;sty.71;2;sty.75;02.maj;sty.65;lut.15;-0.25;sty.92;sty.92;-0.5;01.wrz;2;-0.5
D1;07.08.2004;Leverkusen;Hannover;2;1;H;0;1;A;11;14;21;20;2;2;2;3;0;0;01.maj;03.maj;6;sty.45;4;06.lut;01.cze;03.maj;6;sty.55;03.maj;04.sie;1.533;03.kwi;05.maj;01.maj;03.cze;6;sty.44;mar.75;6;01.cze;lut.15;sty.55;lut.25;02.mar;sty.55;-1.25;02.lut;sty.82;-1;2;01.wrz;-1
D1;08.08.2004;Bielefeld;M'gladbach;0;0;D;0;0;D;14;6;15;17;8;3;0;2;0;1;lut.25;mar.25;lut.75;02.kwi;03.mar;02.cze;lut.35;03.lut;lut.95;02.mar;3;02.lip;lut.25;03.lut;lut.75;lut.38;03.sty;02.lip;02.lut;mar.25;lut.75;sty.71;2;sty.65;lut.15;sty.68;02.sty;0;02.lut;sty.82;-0.25;2.025;1.875;-0.25
D1;08.08.2004;Stuttgart;Mainz;4;2;H;2;0;H;11;7;17;13;3;4;1;2;0;0;01.kwi;mar.75;07.maj;01.kwi;04.lut;06.lip;sty.41;kwi.25;lip.25;01.maj;03.lip;5;01.kwi;mar.75;7;01.kwi;mar.75;07.maj;sty.44;mar.75;6;sty.65;02.maj;01.lip;02.sty;01.lip;02.maj;-1;sty.96;sty.88;-1.25;02.maj;sty.85;-1.25
D1;14.08.2004;Bayern Munich;Hertha;1;1;D;0;1;A;19;9;16;27;6;2;4;5;1;0;01.kwi;4;9;01.mar;04.lip;08.lut;sty.43;4;lip.75;01.kwi;03.wrz;6;sty.36;mar.75;8;01.kwi;4;07.maj;sty.36;4;7;sty.55;lut.25;sty.45;02.kwi;01.lip;02.maj;-1;sty.76;02.sie;-1.25;sty.75;lut.15;-1.25
