Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5
F1;02.08.2002;Guingamp;Lyon;3;3;D;1;2;A;03.lut;3;02.sty;lut.95;03.sty;02.lut;3;02.wrz;02.lut;03.lut;3;02.sty;2.875;03.sty;lut.25;;;;01.wrz;01.lip
F1;03.08.2002;Bastia;Lens;1;1;D;0;0;D;02.maj;2.875;2.625;lut.52;mar.15;lut.48;02.cze;02.sie;02.cze;2.375;03.lut;02.cze;02.maj;3;02.cze;02.maj;03.sty;02.maj;01.wrz;01.lip
F1;03.08.2002;Lille;Bordeaux;0;3;A;0;1;A;02.sty;3;03.lut;2;mar.15;mar.35;02.lut;02.sie;03.sty;02.lut;3;3;02.sty;3;mar.25;02.lut;03.sty;lut.87;sty.85;sty.75
F1;03.08.2002;Marseille;Nantes;0;2;A;0;0;D;lut.25;3;2.875;lut.25;03.maj;02.wrz;02.lut;02.wrz;3;lut.25;03.lut;lut.75;02.mar;03.sty;02.sie;02.lut;3;3;sty.85;sty.75
F1;03.08.2002;Montpellier;Rennes;1;0;H;0;0;D;1.833;3;4;sty.82;mar.15;4;01.wrz;02.wrz;03.sie;1.909;3;mar.75;1.909;03.sty;mar.75;01.wrz;03.sty;03.cze;01.sie;01.sie
F1;03.08.2002;Nice;Le Havre;1;2;A;0;1;A;1.909;3;mar.75;sty.95;03.sty;03.cze;2;02.wrz;03.kwi;02.sty;03.lut;3;1.909;03.sty;mar.75;sty.83;03.lut;mar.75;01.sie;01.sie
F1;03.08.2002;Paris SG;Auxerre;1;0;H;0;0;D;1.833;3;4;sty.72;03.lut;04.maj;01.sie;3;4;01.sie;03.lut;4;1.833;03.sty;4;sty.66;03.mar;04.maj;sty.95;sty.65
F1;03.08.2002;Sedan;Sochaux;0;0;D;0;0;D;2;3;03.kwi;02.sty;3;mar.25;01.wrz;02.wrz;03.sie;02.sty;3;03.lut;02.sty;3;mar.25;2;03.sty;03.mar;sty.75;sty.85
F1;03.08.2002;Strasbourg;Ajaccio;1;1;D;1;1;D;1.833;3;4;01.wrz;03.sty;mar.75;sty.85;3;03.sie;1.909;3;mar.75;sty.85;03.sty;4;01.sie;03.sty;4;sty.75;sty.85
F1;03.08.2002;Troyes;Monaco;0;4;A;0;2;A;02.sty;3;03.lut;2;03.sty;03.kwi;02.sty;3;03.sty;02.sty;3;03.lut;02.sty;3;mar.25;02.sty;03.sty;03.sty;01.sie;01.sie
F1;08.08.2002;Auxerre;Montpellier;2;0;H;0;0;D;1.667;03.kwi;4.333;sty.65;mar.35;5;sty.65;03.sty;04.sie;;;;01.cze;mar.25;05.maj;sty.57;mar.25;05.maj;sty.95;01.lip
F1;09.08.2002;Bordeaux;Paris SG;0;0;D;0;0;D;02.lut;3;3;lut.22;3;mar.22;2;02.wrz;03.kwi;02.lut;02.sie;03.lut;02.maj;03.sty;mar.25;02.sty;3;03.lut;sty.95;sty.65
F1;10.08.2002;Ajaccio;Guingamp;0;2;A;0;1;A;02.sty;3;03.lut;02.maj;03.sty;mar.54;2;02.wrz;03.kwi;02.sty;03.lut;3;02.lut;3;03.sty;02.sty;3;03.lut;2;01.cze
F1;10.08.2002;Le Havre;Lille;0;0;D;0;0;D;lut.25;2.875;3;lut.38;3;3;02.mar;02.lip;3;lut.25;2.875;3;lut.25;2.875;03.sty;lut.25;3;lut.87;02.maj;01.cze
F1;10.08.2002;Lens;Sochaux;1;1;D;0;1;A;1.571;mar.25;05.maj;01.cze;03.kwi;maj.25;01.cze;03.mar;04.sie;1.615;03.lut;05.maj;1.571;03.kwi;05.maj;sty.61;03.mar;5;01.wrz;01.lip
F1;10.08.2002;Lyon;Sedan;6;1;H;2;1;H;1.364;mar.75;8;sty.43;kwi.15;lip.75;01.kwi;03.lip;06.maj;01.kwi;mar.75;7;01.kwi;mar.75;07.maj;sty.44;03.maj;7;01.sie;01.sie
F1;10.08.2002;Monaco;Marseille;0;1;A;0;0;D;2;3;03.kwi;sty.94;mar.15;mar.75;01.wrz;02.wrz;03.sie;1.909;3;mar.75;sty.85;03.lut;03.sie;01.wrz;03.sty;03.cze;02.maj;01.lip
F1;10.08.2002;Nantes;Bastia;1;0;H;0;0;D;1.615;mar.25;5;01.cze;03.kwi;maj.27;01.lip;03.sty;04.kwi;1.667;mar.25;04.maj;1.667;03.lut;5;sty.61;03.mar;5;01.sie;01.sie
F1;10.08.2002;Nice;Strasbourg;4;0;H;2;0;H;02.sty;3;03.lut;02.lut;3;mar.35;02.lut;02.sie;03.sty;02.sty;3;03.lut;02.sty;3;03.mar;01.wrz;3;mar.75;sty.95;sty.65
F1;10.08.2002;Rennes;Troyes;0;0;D;0;0;D;2;3;03.kwi;sty.94;mar.15;mar.75;01.wrz;3;03.cze;2;03.lut;03.lut;2;3;03.maj;sty.83;3;4;sty.89;sty.75
F1;16.08.2002;Marseille;Lyon;1;1;D;1;1;D;02.kwi;3;02.lip;02.cze;03.sty;lut.63;02.cze;02.lip;02.lip;02.maj;03.lut;02.maj;02.maj;03.sty;02.cze;02.maj;02.wrz;lut.62;01.wrz;sty.77
F1;17.08.2002;Bastia;Monaco;1;0;H;0;0;D;lut.25;3;2.875;02.mar;3;lut.92;02.mar;02.wrz;02.sie;02.lut;03.lut;02.sie;02.mar;3;3;lut.37;02.wrz;02.sie;sty.95;sty.65
F1;17.08.2002;Guingamp;Rennes;3;0;H;1;0;H;1.909;3;mar.75;lut.22;02.wrz;03.lip;01.wrz;02.wrz;03.sie;2;3;03.kwi;2;3;mar.75;02.sty;02.sie;03.kwi;02.maj;01.cze
F1;17.08.2002;Lille;Nice;0;3;A;0;2;A;1.667;mar.25;04.maj;sty.66;mar.35;maj.35;01.cze;03.kwi;04.cze;1.571;mar.25;05.maj;1.667;03.mar;5;sty.66;03.sty;5;2;sty.65
F1;17.08.2002;Montpellier;Bordeaux;0;1;A;0;1;A;02.maj;2.875;2.625;02.maj;3;02.lip;02.wrz;02.lip;02.kwi;02.maj;03.lut;02.maj;02.maj;3;02.lip;02.cze;02.sie;02.cze;02.sty;sty.55
F1;17.08.2002;Paris SG;Ajaccio;2;2;D;2;0;H;1.364;mar.75;8;sty.35;mar.85;sie.75;sty.35;4;7;1.364;mar.75;8;01.kwi;mar.75;8;sty.36;03.cze;9;sty.85;sty.75
F1;17.08.2002;Sedan;Lens;0;1;A;0;1;A;02.lip;3;02.kwi;02.lip;lut.91;lut.56;02.lip;02.cze;02.lip;02.maj;03.lut;02.maj;02.lip;3;02.maj;lut.62;02.wrz;02.maj;02.sty;sty.55
F1;17.08.2002;Sochaux;Nantes;4;2;H;1;1;D;2.375;3;lut.75;lut.54;lut.91;02.wrz;02.maj;02.wrz;02.cze;2.375;2.875;02.sie;2.375;3;2.875;lut.37;02.wrz;02.sie;02.maj;01.cze
