Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;GBAHH;GBAHA;GBAH;B365AHH;B365AHA;B365AH
F1;01.08.2003;Lille;Lyon;1;0;H;1;0;H;2.875;3;lut.25;lut.95;03.sty;lut.27;02.lip;02.wrz;02.kwi;2.875;3;lut.25;;;;3;3;lut.25;3;3;02.lut;02.maj;01.cze;sty.85;sty.95;0.25;;;
F1;02.08.2003;Auxerre;Nice;1;2;A;0;1;A;1.727;03.sty;04.maj;01.lip;03.sty;04.wrz;01.lip;03.sty;04.kwi;1.615;mar.25;5;;;;sty.72;03.sty;kwi.75;sty.66;03.sty;5;lut.15;sty.55;2;01.sie;-0.75;02.maj;sty.85;-0.75
F1;02.08.2003;Guingamp;Marseille;0;1;A;0;0;D;02.maj;2.875;2.625;lut.55;3;lut.65;02.lip;02.wrz;02.kwi;02.maj;03.lut;02.maj;;;;02.cze;3;02.maj;02.cze;03.sty;02.kwi;02.maj;01.cze;01.wrz;01.wrz;0;1.925;1.975;0
F1;02.08.2003;Lens;Le Mans;0;0;D;0;0;D;1.571;mar.25;05.maj;sty.67;mar.35;kwi.85;01.cze;03.mar;04.sie;1.571;mar.25;05.maj;;;;sty.61;mar.25;maj.25;sty.66;03.mar;04.maj;01.wrz;01.lip;sty.85;sty.95;-0.75;01.wrz;2;-0.75
F1;02.08.2003;Metz;Ajaccio;0;1;A;0;1;A;2;3;03.kwi;sty.93;03.sty;03.sie;01.sie;03.sty;03.sie;2;3;03.kwi;;;;sty.95;03.sty;03.cze;01.sie;mar.25;03.sie;02.maj;01.cze;01.wrz;01.wrz;-0.5;2;01.wrz;-0.5
F1;02.08.2003;Monaco;Bordeaux;2;0;H;1;0;H;1.909;3;mar.75;sty.93;03.sty;mar.75;01.wrz;03.sty;03.maj;2;03.lut;03.lut;;;;01.wrz;03.sty;mar.75;sty.83;3;4;02.maj;01.cze;01.wrz;01.wrz;-0.5;1.925;1.975;-0.5
F1;02.08.2003;Montpellier;Rennes;1;1;D;0;1;A;1.909;3;mar.75;sty.95;mar.15;03.lip;2;02.wrz;03.kwi;2;03.lut;03.lut;;;;sty.95;03.sty;03.cze;sty.83;03.lut;mar.75;02.maj;01.cze;sty.95;sty.85;-0.5;02.maj;sty.85;-0.5
F1;02.08.2003;Paris SG;Bastia;0;0;D;0;0;D;1.533;03.kwi;05.maj;01.cze;mar.33;05.maj;sty.45;03.cze;05.sie;01.maj;mar.25;06.maj;;;;sty.53;03.kwi;6;sty.53;mar.25;6;01.wrz;01.lip;01.wrz;01.wrz;-1;01.sie;02.sty;-0.75
F1;02.08.2003;Sochaux;Nantes;2;1;H;1;1;D;1.909;3;mar.75;sty.91;mar.15;mar.75;sty.85;03.sty;03.cze;2;03.lut;03.lut;;;;01.wrz;03.sty;mar.75;2;3;03.kwi;lut.15;sty.55;01.wrz;01.wrz;-0.5;1.975;1.925;-0.5
F1;02.08.2003;Toulouse;Strasbourg;1;1;D;0;0;D;02.sty;3;03.lut;2;03.sty;03.maj;sty.85;03.sty;03.cze;02.sty;3;03.lut;;;;sty.95;3;mar.75;01.wrz;3;mar.75;lut.15;sty.55;sty.75;02.maj;-0.25;01.sie;02.sty;-0.25
F1;08.08.2003;Marseille;Auxerre;1;0;H;0;0;D;01.sie;03.sty;4;01.sie;03.sty;04.mar;01.lip;03.sty;04.kwi;01.sie;03.lut;4;;;;sty.75;03.sty;04.maj;;;;02.maj;01.cze;sty.75;02.maj;-0.5;1.875;2.025;-0.5
F1;09.08.2003;Bastia;Metz;0;2;A;0;1;A;1.667;03.sty;5;01.lip;03.lut;5;01.lip;03.sty;04.kwi;1.727;03.lut;4.333;;;;sty.72;03.sty;kwi.75;sty.66;03.mar;04.maj;02.maj;01.cze;sty.95;sty.85;-0.75;1.975;1.925;-0.75
F1;09.08.2003;Bordeaux;Montpellier;0;1;A;0;0;D;1.571;mar.25;05.maj;01.cze;03.mar;maj.75;sty.45;03.cze;05.sie;1.667;03.lut;5;;;;sty.57;03.kwi;05.maj;sty.53;mar.25;6;sty.95;sty.65;02.gru;01.lip;-1;01.sie;02.sty;-0.75
F1;09.08.2003;Le Mans;Ajaccio;0;1;A;0;1;A;1.909;3;mar.75;sty.95;mar.15;03.cze;01.wrz;3;03.cze;02.sty;03.lut;3;;;;2;3;03.cze;sty.83;3;4;lut.15;sty.55;01.lip;02.gru;-0.25;2.075;1.825;-0.5
F1;09.08.2003;Lille;Paris SG;1;0;H;1;0;H;02.maj;2.875;2.625;02.cze;03.sty;lut.55;02.kwi;02.wrz;02.lip;02.maj;2.875;2.625;;;;02.cze;3;02.maj;02.maj;02.wrz;lut.62;lut.15;sty.55;01.wrz;01.wrz;0;sty.85;02.maj;0
F1;09.08.2003;Lyon;Monaco;3;1;H;3;0;H;1.909;3;mar.75;sty.97;3;mar.65;01.wrz;3;03.cze;02.sty;3;03.lut;;;;2;3;03.cze;sty.83;3;4;sty.85;sty.75;sty.95;sty.85;-0.5;2;01.wrz;-0.5
F1;09.08.2003;Nantes;Lens;2;0;H;0;0;D;1.909;3;mar.75;2;3;mar.65;2;02.wrz;03.kwi;2;3;03.kwi;;;;2;3;03.cze;01.wrz;3;mar.75;lut.15;sty.55;01.sie;2;-0.25;sty.75;lut.15;-0.25
F1;09.08.2003;Nice;Sochaux;1;0;H;0;0;D;2;3;03.kwi;2;03.sty;03.cze;01.wrz;3;03.cze;02.sty;3;03.lut;;;;2;3;03.cze;01.wrz;3;mar.75;02.lut;01.maj;01.sie;2;-0.25;02.sty;01.sie;-0.5
