Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
I1;30.08.2003;Reggina;Sampdoria;2;2;D;2;0;H;lut.25;3;03.sty;02.mar;02.wrz;03.sty;02.lut;02.lip;03.lut;02.lut;3;3;lut.25;3;3;lut.25;3;3;02.lut;lut.87;03.sty;01.wrz;sty.79;sty.83;sty.83;2;01.sie;-0.25;02.maj;01.sie;-0.25;2.075;1.825;-0.25
I1;31.08.2003;Bologna;Parma;2;2;D;1;1;D;02.mar;3;3;lut.35;02.wrz;3;02.lut;02.sie;03.sty;lut.25;3;2.875;lut.25;3;3;lut.25;3;3;lut.25;lut.87;3;01.wrz;sty.79;01.wrz;01.sie;02.sty;sty.75;-0.25;02.sty;sty.75;-0.25;sty.75;lut.15;0
I1;31.08.2003;Brescia;Chievo;1;1;D;0;1;A;2.375;3;2.875;lut.35;02.wrz;3;02.mar;02.lip;3;lut.25;3;2.875;02.mar;3;lut.88;02.mar;3;lut.87;lut.25;3;lut.87;01.wrz;sty.79;2;sty.72;02.maj;sty.77;-0.25;02.sty;sty.75;-0.25;sty.75;lut.15;0
I1;31.08.2003;Inter;Modena;2;0;H;0;0;D;sty.25;5;10;sty.25;04.maj;11;01.mar;04.lut;8;sty.25;04.maj;10;sty.22;5;10;sty.22;04.sie;11;sty.25;04.maj;10;sty.65;02.maj;01.sie;01.wrz;sty.85;sty.95;-1.5;01.wrz;sty.95;-1.5;1.925;1.975;-1.5
I1;31.08.2003;Juventus;Empoli;5;1;H;1;0;H;1.222;5;13;sty.25;04.maj;11;sty.25;04.maj;9;sty.25;04.maj;10;sty.22;5;10;sty.22;04.sie;11;01.lut;5;11;sty.55;lut.25;sty.72;2;sty.85;sty.95;-1.5;sty.85;2;-1.5;1.875;2.025;-1.5
I1;31.08.2003;Lazio;Lecce;4;1;H;3;0;H;1.333;4;10;01.kwi;mar.75;07.lip;sty.35;4;7;1.333;mar.75;9;sty.33;4;08.maj;sty.33;4;08.maj;sty.36;03.cze;9;01.cze;lut.15;01.sie;01.wrz;01.sie;2;-1.25;02.maj;01.sie;-1.5;01.wrz;2;-1.25
I1;31.08.2003;Perugia;Siena;2;2;D;2;1;H;1.667;03.lut;05.maj;sty.67;03.lut;maj.25;01.lip;03.sty;04.kwi;1.667;2.875;05.maj;sty.67;03.lut;5;sty.66;03.lut;5;sty.66;03.sty;5;01.wrz;sty.79;01.wrz;01.sie;01.sie;2;-0.75;sty.85;2;-0.75;01.wrz;2;-0.75
I1;31.08.2003;Udinese;Roma;1;2;A;1;1;D;02.cze;03.lut;02.maj;lut.55;3;lut.65;02.maj;3;02.maj;02.kwi;3;2.625;02.cze;lut.88;02.cze;02.cze;lut.87;02.cze;02.maj;02.wrz;lut.62;sty.75;sty.95;01.wrz;01.sie;01.sie;2;0;01.wrz;sty.95;0;01.wrz;2;0
I1;01.09.2003;Ancona;Milan;0;2;A;0;1;A;5;03.sty;1.727;maj.25;03.lut;sty.67;04.lut;03.lut;01.lip;04.maj;mar.25;1.667;5;03.lut;sty.67;5;03.lut;sty.66;04.maj;03.sty;sty.72;sty.79;01.wrz;sty.83;sty.83;01.lip;02.sty;1;2;sty.85;0.75;2;01.wrz;0.75
I1;13.09.2003;Milan;Bologna;2;1;H;1;1;D;sty.33;kwi.33;08.maj;sty.36;4;08.maj;sty.35;03.sie;07.maj;1.364;mar.75;8;sty.36;4;07.maj;sty.36;4;07.maj;sty.36;mar.75;8;sty.75;sty.95;01.sie;01.wrz;2;01.sie;-1.25;2;sty.85;-1.25;01.sie;02.sty;-1
