Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
I1;11.09.2004;Chievo;Inter;2;2;D;2;1;H;04.maj;03.lut;1.727;maj.35;mar.25;sty.65;5;03.lut;01.lip;04.lut;03.sty;sty.75;04.maj;mar.25;1.667;5;03.sty;sty.72;04.maj;03.lut;01.lip;sty.79;01.wrz;sty.95;sty.85;2;01.sie;0.75;sty.94;01.wrz;0.75;sty.95;sty.95;0.75
I1;11.09.2004;Milan;Livorno;2;2;D;1;1;D;1.167;06.maj;15;sty.15;6;13;sty.15;6;15;sty.15;6;12;1.167;05.maj;12;sty.16;6;13;sty.16;05.maj;12;01.cze;lut.15;sty.61;lut.25;01.sie;2;-1.75;sty.86;sty.98;-1.75;sty.85;02.maj;-1.75
I1;12.09.2004;Atalanta;Lecce;2;2;D;1;1;D;2;3;03.maj;2;03.sty;03.cze;02.sty;02.wrz;03.cze;01.wrz;3;03.cze;02.sty;lut.75;03.maj;02.maj;3;03.cze;02.maj;02.wrz;03.kwi;2;sty.71;02.maj;sty.75;02.sty;sty.61;-0.5;02.lut;sty.82;-0.5;02.sty;01.sie;-0.5
I1;12.09.2004;Brescia;Juventus;0;3;A;0;2;A;4;03.sty;1.833;04.maj;03.sty;01.sie;04.sty;mar.25;01.sie;03.sie;3;sty.85;4;3;1.833;4;03.lut;sty.85;4;3;sty.83;sty.85;sty.85;sty.85;sty.95;sty.81;01.sie;0.5;02.kwi;01.sie;0.5;02.sty;01.sie;0.5
I1;12.09.2004;Cagliari;Bologna;1;0;H;1;0;H;2.375;2.875;2.875;02.mar;02.wrz;03.sty;lut.25;02.wrz;mar.15;02.lut;02.wrz;3;lut.25;2.875;3;02.mar;02.wrz;03.sty;02.mar;02.wrz;02.wrz;sty.95;sty.75;2;01.sie;02.maj;sty.77;-0.25;02.cze;sty.78;-0.25;2.125;1.775;-0.25
I1;12.09.2004;Palermo;Siena;1;0;H;1;0;H;1.727;03.lut;04.maj;sty.66;mar.15;05.maj;01.lip;03.sty;05.lut;01.sie;3;4;1.727;03.lut;4.333;01.sie;03.sty;04.maj;sty.72;03.sty;04.maj;sty.85;sty.85;2;01.sie;sty.95;sty.85;-0.75;sty.96;sty.88;-0.75;02.maj;sty.85;-0.75
I1;12.09.2004;Parma;Messina;0;0;D;0;0;D;1.533;03.kwi;6;sty.55;mar.25;06.maj;sty.55;03.kwi;06.sty;sty.55;03.kwi;5;1.444;03.maj;7;01.maj;03.kwi;7;01.maj;03.kwi;6;sty.75;sty.95;01.sie;2;01.sie;2;-0.75;01.sie;02.kwi;-0.75;sty.85;02.maj;-0.75
I1;12.09.2004;Reggina;Udinese;0;0;D;0;0;D;02.cze;2.875;02.cze;02.lip;02.wrz;lut.55;lut.75;02.sie;lut.63;02.cze;02.sie;02.cze;02.maj;2.875;2.625;02.lip;lut.87;02.cze;02.cze;02.sie;02.cze;2;sty.71;02.sty;01.lip;sty.39;lut.63;0.5;sty.96;sty.88;0;sty.95;sty.95;0
I1;12.09.2004;Roma;Fiorentina;1;0;H;0;0;D;1.571;03.kwi;05.maj;sty.55;03.maj;maj.75;sty.62;03.mar;05.maj;sty.45;03.cze;05.sie;1.615;mar.25;5;sty.61;03.mar;05.maj;sty.57;03.maj;5;sty.71;2;sty.85;sty.95;01.wrz;01.wrz;-0.75;sty.96;sty.88;-0.75;01.wrz;2;-0.75
I1;12.09.2004;Sampdoria;Lazio;0;1;A;0;1;A;02.sty;3;mar.75;2;03.maj;03.maj;02.maj;3;03.cze;2;02.wrz;03.kwi;2;3;03.kwi;02.maj;03.sty;03.kwi;02.sty;3;03.lut;sty.85;sty.85;2;01.sie;02.maj;sty.64;-0.5;02.kwi;01.sie;-0.5;02.maj;sty.85;-0.5
I1;18.09.2004;Inter;Palermo;1;1;D;0;0;D;sty.36;kwi.33;9;sty.35;4;8;sty.36;04.sty;08.maj;sty.35;4;7;sty.36;mar.75;8;sty.33;kwi.33;08.maj;01.kwi;03.kwi;08.maj;sty.65;02.maj;01.lip;02.sty;02.maj;sty.77;-1.25;02.sie;sty.76;-1.25;2.125;1.775;-1.25
I1;18.09.2004;Lecce;Brescia;4;1;H;1;1;D;2;3;03.maj;sty.95;mar.25;mar.55;02.maj;3;03.cze;02.sty;02.sie;03.mar;2;02.sie;mar.75;02.sty;03.lut;mar.25;2;lut.87;03.cze;01.wrz;sty.79;2;01.sie;sty.85;sty.95;-0.25;sty.88;sty.96;-0.25;01.sie;02.sty;-0.25
I1;19.09.2004;Bologna;Milan;0;2;A;0;0;D;05.maj;03.lut;sty.61;maj.55;mar.35;01.cze;maj.25;03.mar;sty.65;04.lut;03.lut;01.lip;5;03.lut;sty.67;kwi.75;03.mar;01.lip;5;03.sty;sty.66;01.wrz;sty.79;2;01.sie;2;01.sie;0.75;02.lut;sty.82;0.75;02.maj;sty.85;0.75
I1;19.09.2004;Fiorentina;Cagliari;2;1;H;1;0;H;sty.57;03.kwi;05.maj;sty.55;03.kwi;06.sty;sty.63;03.mar;05.maj;01.cze;03.mar;04.sie;sty.62;mar.25;5;sty.62;03.kwi;05.maj;01.cze;3;6;01.wrz;sty.79;sty.95;sty.85;01.sie;2;-0.75;sty.92;sty.92;-0.75;1.875;2.025;-0.75
I1;19.09.2004;Juventus;Atalanta;2;0;H;1;0;H;01.lut;5;12;01.lut;maj.75;9;sty.22;05.lut;11.maj;01.lut;5;10;01.lut;5;11;sty.22;maj.25;11;01.lut;5;11;sty.71;2;sty.66;lut.15;sty.85;sty.95;-1.5;2;sty.84;-1.5;sty.85;02.maj;-1.5
