Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
SP1;28.08.2004;Ath Madrid;Malaga;2;0;H;1;0;H;sty.72;mar.25;kwi.33;01.wrz;mar.35;03.cze;sty.85;mar.25;04.mar;sty.75;03.sty;04.lut;sty.73;03.lut;kwi.33;01.sie;mar.25;04.lut;sty.72;03.lut;kwi.33;sty.85;sty.85;02.maj;sty.75;sty.85;sty.85;-0.5;sty.82;02.lut;-0.5;01.sie;02.sty;-0.5
SP1;28.08.2004;Espanol;La Coruna;1;1;D;1;0;H;lut.87;03.lut;02.kwi;03.kwi;mar.25;2;3;03.mar;lut.25;02.wrz;3;02.lut;02.cze;03.lut;lut.38;3;03.lut;02.lut;lut.62;03.sty;lut.37;01.wrz;sty.79;02.maj;sty.75;sty.77;02.sty;0.25;sty.76;02.sie;0.25;01.sie;02.sty;0.25
SP1;28.08.2004;Numancia;Betis;1;1;D;1;1;D;02.maj;03.lut;02.maj;02.maj;mar.15;02.cze;02.cze;03.lut;02.cze;02.kwi;02.wrz;02.lip;02.maj;03.lut;02.maj;lut.62;03.sty;02.maj;02.maj;03.sty;02.maj;sty.95;sty.75;02.sty;01.lip;sty.95;01.wrz;0;02.lut;sty.82;0;2;01.wrz;0
SP1;29.08.2004;Mallorca;Real Madrid;0;1;A;0;0;D;5;03.kwi;sty.72;04.maj;03.kwi;01.lip;kwi.75;03.mar;sty.77;03.sie;03.sty;01.sie;kwi.33;03.lut;sty.73;kwi.33;03.kwi;sty.73;04.lut;mar.25;sty.72;sty.71;2;sty.75;02.maj;sty.95;01.wrz;0.75;01.wrz;sty.94;0.75;sty.95;sty.95;0.75
SP1;29.08.2004;Osasuna;Ath Bilbao;1;1;D;1;1;D;02.mar;03.lut;02.lip;lut.25;03.lut;02.wrz;02.mar;mar.25;lut.95;02.kwi;02.wrz;02.lip;lut.25;03.lut;lut.75;02.kwi;03.sty;lut.75;02.mar;03.sty;lut.75;2;sty.71;02.maj;sty.75;01.sie;02.maj;0;02.sty;sty.74;-0.25;2.125;1.775;-0.25
SP1;29.08.2004;Santander;Barcelona;0;2;A;0;0;D;5;03.kwi;sty.72;04.maj;03.kwi;01.lip;kwi.75;03.kwi;sty.75;03.sie;03.sty;01.sie;04.maj;mar.25;sty.67;kwi.33;03.kwi;sty.73;03.sie;mar.25;01.sie;sty.75;sty.95;sty.85;sty.95;sty.95;01.wrz;0.75;sty.92;sty.92;0.75;2;01.wrz;0.75
SP1;29.08.2004;Sevilla;Albacete;1;0;H;0;0;D;sty.66;03.kwi;04.maj;01.lip;03.kwi;04.maj;sty.72;03.kwi;5;sty.75;03.lut;4;sty.62;mar.25;5;sty.67;03.kwi;kwi.75;01.cze;03.kwi;04.sie;01.wrz;sty.79;02.sty;01.lip;01.sie;02.maj;-0.75;sty.76;02.sie;-0.75;01.sie;02.sty;-0.75
SP1;29.08.2004;Sociedad;Levante;1;1;D;0;1;A;sty.72;mar.25;kwi.33;01.lip;03.kwi;04.maj;sty.73;03.mar;5;01.lip;03.sty;04.kwi;sty.67;mar.25;04.maj;sty.67;03.kwi;kwi.75;sty.61;03.sty;05.maj;01.wrz;sty.79;2;01.sie;02.sty;sty.77;-0.75;02.gru;sty.72;-0.75;lut.15;sty.75;-0.75
SP1;29.08.2004;Zaragoza;Getafe;3;1;H;1;1;D;sty.72;mar.25;kwi.33;sty.85;mar.25;4;01.sie;mar.35;04.maj;sty.75;03.sty;04.lut;sty.62;mar.25;5;sty.73;03.kwi;kwi.33;sty.72;03.lut;kwi.33;01.wrz;sty.79;02.sty;01.lip;2;sty.85;-0.75;;;;;;
SP1;30.08.2004;Valencia;Villarreal;2;1;H;2;0;H;sty.61;03.kwi;5;sty.45;mar.75;7;sty.63;03.mar;6;sty.55;03.maj;04.sie;sty.53;03.maj;05.maj;sty.53;03.cze;6;;;;01.wrz;sty.79;01.wrz;01.wrz;sty.85;2;-0.75;01.wrz;sty.94;-0.75;1.925;1.975;-0.75
SP1;11.09.2004;Ath Bilbao;Valencia;2;2;D;2;0;H;02.lip;03.lut;02.mar;02.lip;mar.15;02.kwi;02.sie;03.lut;lut.43;02.maj;3;02.maj;02.cze;03.lut;2.375;02.sie;03.sty;lut.37;02.maj;03.sty;02.maj;2;sty.71;02.maj;sty.75;02.mar;sty.55;-0.25;02.sty;sty.74;0;02.sty;01.sie;0
SP1;11.09.2004;Barcelona;Sevilla;2;0;H;1;0;H;1.444;4;07.maj;01.kwi;4;lip.25;sty.45;4;lip.25;01.kwi;03.lip;06.maj;1.364;mar.75;8;sty.44;mar.75;7;01.kwi;03.cze;07.maj;sty.65;02.maj;sty.75;02.maj;sty.75;2;-1;sty.72;02.gru;-1;02.sty;01.sie;-1.25
SP1;11.09.2004;Real Madrid;Numancia;1;0;H;1;0;H;01.lut;6;13;01.lut;05.maj;11.maj;01.lut;05.wrz;13;01.lut;5;10;01.lut;5;11;01.lut;05.maj;12;01.lut;5;11;01.kwi;lut.65;sty.53;02.kwi;01.sie;sty.95;-2;01.wrz;sty.94;-2;lut.15;sty.75;0
